	network	station	channel	starttime	endtime	stla	stlo	stel
89	NS	N083	HH	2017-01-01 0:00	2099-12-31 0:00	35.900721	129.156132	117
90	NS	N084	HH	2017-01-01 0:00	2099-12-31 0:00	35.935671	129.254465	45
91	NS	N085	HH	2017-01-01 0:00	2022-01-11 0:00	35.64005	129.0574	406
92	NS	N085	HH	2022-01-12 0:00	2099-12-31 0:00	35.632895	129.053464	320
93	NS	N086	HH	2017-01-01 0:00	2099-12-31 0:00	35.664443	129.090396	453
94	NS	N087	HH	2017-01-01 0:00	2099-12-31 0:00	35.759827	129.426055	73
95	NS	N088	HH	2017-01-01 0:00	2099-12-31 0:00	35.570228	129.098044	134
96	NS	N089	HH	2017-01-01 0:00	2099-12-31 0:00	35.650381	129.029557	469
97	NS	N090	HH	2017-01-01 0:00	2022-01-12 0:00	35.65038	129.0296	469
98	NS	N090	HH	2022-01-13 0:00	2099-12-31 0:00	35.653285	129.024714	467
99	NS	N091	HH	2017-01-01 0:00	2099-12-31 0:00	35.757694	128.95276	190
100	NS	N092	HH	2017-01-01 0:00	2099-12-31 0:00	35.711948	128.983814	228
101	NS	N093	HH	2017-01-01 0:00	2099-12-31 0:00	35.604709	129.056414	320
102	NS	N094	HH	2017-01-01 0:00	2099-12-31 0:00	35.537767	129.189398	97
103	NS	N095	HH	2017-01-01 0:00	2099-12-31 0:00	35.78695	129.019783	246
104	NS	N096	HH	2017-01-01 0:00	2099-12-31 0:00	35.826315	128.992357	302
105	NS	N097	HH	2017-01-01 0:00	2099-12-31 0:00	35.537924	129.106848	140
106	NS	N098	HH	2017-01-01 0:00	2099-12-31 0:00	35.521526	129.075216	274
107	NS	N099	HH	2017-01-01 0:00	2099-12-31 0:00	35.668097	129.003343	289
108	NS	N100	HH	2017-01-01 0:00	2099-12-31 0:00	35.875149	129.32117	236
109	NS	N101	HH	2017-01-01 0:00	2099-12-31 0:00	35.73153	129.443883	87
110	NS	N102	HH	2017-01-01 0:00	2099-12-31 0:00	35.637568	129.214216	201
111	NS	N103	HH	2017-01-01 0:00	2020-02-19 0:00	35.637786	129.097961	345
112	NS	N103	HH	2020-02-20 0:00	2099-12-31 0:00	35.637968	129.099029	531
113	NS	N104	HH	2017-01-01 0:00	2019-11-14 0:00	35.630147	129.149809	167
114	NS	N104	HH	2019-11-15 0:00	2099-12-31 0:00	35.633694	129.14705	213
115	NS	N105	HH	2017-01-01 0:00	2099-12-31 0:00	35.650216	129.418545	72
116	NS	N106	HH	2017-01-01 0:00	2099-12-31 0:00	35.836964	129.402621	173
117	NS	N107	HH	2017-01-01 0:00	2099-12-31 0:00	35.803372	129.389177	148
118	NS	N108	HH	2017-01-01 0:00	2019-09-06 0:00	35.611876	129.375675	65
119	NS	N108	HH	2019-09-06 0:00	2019-09-25 0:00	35.61004	129.362518	65
120	NS	N108	HH	2019-09-25 0:00	2099-12-31 0:00	35.609942	129.362466	65
121	NS	N109	HH	2017-01-01 0:00	2099-12-31 0:00	35.783865	129.384485	143
122	NS	N110	HH	2017-01-01 0:00	2099-12-31 0:00	35.787421	129.421516	117
123	NS	N111	HH	2017-01-01 0:00	2099-12-31 0:00	35.90421	129.106129	279
124	NS	N112	HH	2017-01-01 0:00	2099-12-31 0:00	35.736682	129.408765	150
125	NS	N113	HH	2017-01-01 0:00	2099-12-31 0:00	35.697118	129.418996	88
126	NS	N114	HH	2017-01-01 0:00	2099-12-31 0:00	35.934012	129.096604	194
127	NS	N115	HH	2017-01-01 0:00	2099-12-31 0:00	35.90668	129.060958	161
128	NS	N116	HH	2017-01-01 0:00	2099-12-31 0:00	35.895907	129.286183	107
129	NS	N117	HH	2017-01-01 0:00	2099-12-31 0:00	35.863643	129.431618	209
130	NS	N118	HH	2017-01-01 0:00	2099-12-31 0:00	35.833563	129.442075	132
131	NS	N119	HH	2017-01-01 0:00	2099-12-31 0:00	35.901332	129.246226	79
132	NS	N120	HH	2017-01-01 0:00	2099-12-31 0:00	35.615879	129.328924	113
133	NS	N121	HH	2017-01-01 0:00	2099-12-31 0:00	35.666224	129.273381	250
134	NS	N122	HH	2017-01-01 0:00	2099-12-31 0:00	35.705231	129.440013	84
135	NS	N123	HH	2017-01-01 0:00	2099-12-31 0:00	35.664111	129.433998	55
136	NS	N124	HH	2017-01-01 0:00	2099-12-31 0:00	35.695595	129.349138	238
137	NS	N125	HH	2017-01-01 0:00	2099-12-31 0:00	35.667375	129.400611	303
138	NS	N126	HH	2017-01-01 0:00	2021-04-07 0:00	35.995459	129.500173	165
139	NS	N126	HH	2021-04-07 0:00	2099-12-31 0:00	35.993298	129.498262	165
140	NS	N127	HH	2017-01-01 0:00	2099-12-31 0:00	35.724124	129.455738	59
141	NS	N128	HH	2017-01-01 0:00	2099-12-31 0:00	35.825747	129.216046	86
142	NS	N129	HH	2017-01-01 0:00	2099-12-31 0:00	35.784886	129.470136	57
143	NS	N130	HH	2017-01-01 0:00	2099-12-31 0:00	35.819054	129.367632	329
144	NS	N131	HH	2017-01-01 0:00	2099-12-31 0:00	35.998492	128.962223	140
145	NS	N132	HH	2017-01-01 0:00	2099-12-31 0:00	35.999362	129.052448	134
146	NS	N133	HH	2017-01-01 0:00	2099-12-31 0:00	35.991018	129.149454	109
147	NS	N134	HH	2017-01-01 0:00	2099-12-31 0:00	36.022415	129.251014	45
148	NS	N135	HH	2017-01-01 0:00	2099-12-31 0:00	35.995529	129.352538	33
149	NS	N136	HH	2017-01-01 0:00	2019-07-15 0:00	35.998467	129.551225	100
150	NS	N136	HH	2019-07-16 0:00	2099-12-31 0:00	35.997979	129.550983	100
151	NS	N137	HH	2017-01-01 0:00	2099-12-31 0:00	35.958083	128.998951	133
152	NS	N138	HH	2017-01-01 0:00	2099-12-31 0:00	35.961175	129.11077	190
153	NS	N139	HH	2017-01-01 0:00	2099-12-31 0:00	35.97752	129.201044	104
154	NS	N140	HH	2017-01-01 0:00	2099-12-31 0:00	35.964448	129.291934	59
155	NS	N141	HH	2017-01-01 0:00	2022-01-04 0:00	35.97032	129.3951	63
156	NS	N141	HH	2022-01-05 0:00	2099-12-31 0:00	35.967791	129.392338	82
157	NS	N142	HH	2017-01-01 0:00	2099-12-31 0:00	35.956192	129.495294	126
158	NS	N143	HH	2017-01-01 0:00	2099-12-31 0:00	35.944378	129.368083	65
159	NS	N144	HH	2017-01-01 0:00	2099-12-31 0:00	35.943074	129.444233	142
160	NS	N145	HH	2017-01-01 0:00	2099-12-31 0:00	35.912405	129.399475	113
161	NS	N146	HH	2017-01-01 0:00	2099-12-31 0:00	35.890965	129.492445	61
162	NS	N147	HH	2017-01-01 0:00	2019-11-12 0:00	35.870581	128.9529	153
163	NS	N147	HH	2019-11-13 0:00	2099-12-31 0:00	35.870577	128.950625	148
164	NS	N148	HH	2017-01-01 0:00	2099-12-31 0:00	35.870287	129.056497	174
165	NS	N149	HH	2017-01-01 0:00	2099-12-31 0:00	35.589963	129.340092	63
166	NS	N150	HH	2017-01-01 0:00	2099-12-31 0:00	35.830824	129.301985	158
167	NS	N151	HH	2017-01-01 0:00	2099-12-31 0:00	35.820098	129.469829	114
168	NS	N152	HH	2017-01-01 0:00	2099-12-31 0:00	35.78229	128.927201	294
169	NS	N153	HH	2017-01-01 0:00	2099-12-31 0:00	35.79349	129.450759	101
170	NS	N154	HH	2017-01-01 0:00	2099-12-31 0:00	35.754365	129.484951	51
171	NS	N155	HH	2017-01-01 0:00	2099-12-31 0:00	35.711769	128.9189	133
172	NS	N156	HH	2017-01-01 0:00	2099-12-31 0:00	35.928526	129.504626	40
173	NS	N157	HH	2017-01-01 0:00	2099-12-31 0:00	35.717898	129.327428	135
174	NS	N158	HH	2017-01-01 0:00	2099-12-31 0:00	35.65221	128.96896	257
175	NS	N159	HH	2017-01-01 0:00	2099-12-31 0:00	35.616077	128.927832	290
176	NS	N160	HH	2017-01-01 0:00	2020-11-08 0:00	35.605682	129.030187	600
177	NS	N160	HH	2020-11-09 0:00	2099-12-31 0:00	35.60549	129.029772	600
