Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
1294,2019-07-25T00:31:04.253,35.7959,129.4176,12.9,0.1
1295,2019-07-25T03:28:33.618,35.7024,128.8074,3.8,0.5
1296,2019-07-25T06:58:18.114,35.762,129.1907,14.3,0.1
1297,2019-07-25T11:06:52.848,35.7448,129.181,13.4,-0.1
1298,2019-07-25T19:56:14.484,35.9381,128.8797,10.7,0.5
1299,2019-07-25T20:24:35.371,35.9357,128.8883,10.6,-0.2
1300,2019-07-26T03:04:24.704,35.9188,129.1915,3.6,0.3
1301,2019-07-26T15:35:29.651,35.9281,129.7147,14.2,0.4
1302,2019-07-26T16:24:47.913,35.8597,129.0985,9.1,-0.5
1303,2019-07-26T20:32:55.346,35.7407,129.4184,14.1,-0.1
1304,2019-07-27T05:54:20.591,35.7323,129.4333,14.8,0.3
1305,2019-07-27T06:11:04.251,35.9276,129.2075,3.5,0.3
1306,2019-07-27T10:36:57.452,35.8285,129.4528,13.4,0.1
1307,2019-07-27T13:29:33.577,35.8974,128.6876,19.7,0.1
1308,2019-07-27T13:31:21.309,35.8926,128.6763,18,1.5
1309,2019-07-27T13:32:20.379,35.8874,128.7056,17,1.4
1310,2019-07-27T14:01:02.991,35.8937,128.7005,20,0.3
1311,2019-07-27T15:19:47.018,35.8992,128.6882,20.6,0.7
1312,2019-07-28T03:17:12.566,36.11,129.3583,8.3,0.6
1313,2019-07-28T05:50:04.485,35.7746,129.1944,12.9,0
1314,2019-07-28T11:34:55.827,36.1394,129.3947,9.6,0.7
1315,2019-07-28T16:43:06.291,35.6661,129.3978,6.3,-0.1
1316,2019-07-28T17:15:39.971,35.7658,129.2053,14.5,-0.4
1317,2019-07-29T05:19:21.418,35.6194,129.221,3.2,0.4
1318,2019-07-29T15:13:45.315,35.9302,129.4038,15.4,0.2
1319,2019-07-29T15:16:02.876,35.7013,129.4077,14.8,-0.1
1320,2019-07-29T15:19:52.266,35.7027,129.4092,15.1,-0.2
1321,2019-07-29T15:49:53.436,35.7052,129.4105,15.8,-0.1
1322,2019-07-29T15:50:05.626,35.7008,129.3959,13.4,-0.1
1323,2019-07-29T16:49:11.237,35.8013,129.4428,13.3,-0.3
1324,2019-07-29T17:16:47.370,35.7034,129.41,15.1,-0.1
1325,2019-07-29T19:09:22.999,35.7006,129.4041,14.3,-0.1
1326,2019-07-29T20:36:44.659,35.7045,129.407,15.1,0.1
1327,2019-07-29T21:07:05.904,35.7651,129.2003,13.6,-0.2
1328,2019-07-29T23:53:42.372,35.6237,129.1974,7.4,0.3
1329,2019-07-30T04:26:56.560,35.7247,129.2494,17.9,0.3
1330,2019-07-30T09:15:10.402,35.7477,129.1801,15.1,0.7
1331,2019-07-30T13:15:42.244,35.7721,129.194,13.1,-0.1
1332,2019-07-31T03:07:19.425,35.9184,129.1911,6.7,0.7
1333,2019-07-31T17:52:00.628,36.1261,129.3748,7.1,0.4
1334,2019-08-01T03:07:04.131,35.9148,129.1881,4.2,0.8
1335,2019-08-01T15:16:07.906,35.8576,129.1035,11.2,-0.5
1336,2019-08-01T15:48:21.915,35.9424,128.8639,12.2,-0.3
1337,2019-08-01T15:49:09.526,35.6531,128.7455,18.1,-0.1
1338,2019-08-01T16:39:59.206,35.9402,128.8697,10.5,-0.3
1339,2019-08-01T17:02:10.536,35.695,129.353,16.1,-0.1
1340,2019-08-01T17:39:45.802,35.7199,129.3522,9.6,-0.1
1341,2019-08-02T06:00:13.607,35.9689,128.8926,12.3,0.2
1342,2019-08-02T06:41:35.532,35.7171,128.8329,9.5,0.5
1343,2019-08-02T12:58:11.639,35.7838,129.3636,12.2,-0.2
1344,2019-08-02T17:42:11.562,35.824,129.1089,13.6,-0.3
1345,2019-08-02T22:28:53.255,35.8247,129.2809,7.5,-0.2
1346,2019-08-03T04:47:28.283,35.767,129.1965,13.7,0.1
1347,2019-08-03T11:51:51.583,35.8501,129.2925,12.9,-0.1
1348,2019-08-03T12:35:53.656,35.7151,129.35,9.5,0.5
1349,2019-08-03T12:38:59.924,35.7177,129.3559,10.6,0.1
1350,2019-08-03T13:17:49.341,35.7162,129.3505,9.9,0.8
1351,2019-08-03T13:46:52.467,35.7174,129.3554,10.7,-0.1
1352,2019-08-03T13:54:56.864,35.7162,129.355,10.6,0
1353,2019-08-03T15:57:07.578,35.7704,129.1986,15.2,-0.4
1354,2019-08-03T16:27:08.671,35.7773,129.2042,14.2,-0.2
1355,2019-08-03T16:27:38.771,35.7135,129.3767,14.4,-0.3
1356,2019-08-03T17:07:08.625,35.7164,129.3529,10.3,1.5
1357,2019-08-03T17:23:10.603,35.7179,129.3527,10.1,0.3
1358,2019-08-03T17:45:16.225,35.7177,129.3683,13,-0.2
1359,2019-08-03T18:39:39.509,35.9727,129.2375,7,0.1
1360,2019-08-03T18:40:33.655,35.7062,129.3902,17.1,0.1
1361,2019-08-03T19:02:04.242,35.7201,129.343,7.6,-0.4
1362,2019-08-03T21:41:08.300,35.8818,128.8426,19.1,-0.1
1363,2019-08-03T23:11:39.545,35.7161,129.3514,10.5,0.1
1364,2019-08-04T06:47:25.833,35.7758,129.2037,15.2,-0.2
1365,2019-08-04T08:16:19.941,35.7156,129.3513,9.8,1.2
1366,2019-08-04T08:28:52.614,35.715,129.3575,11,0.3
1367,2019-08-04T17:46:12.730,35.7608,129.1986,15.2,-0.5
1368,2019-08-05T01:43:38.382,35.7797,129.2072,13.2,0.1
1369,2019-08-05T03:07:08.450,35.7138,129.2224,2.6,0.3
1370,2019-08-05T03:08:29.064,35.925,129.189,3.3,0.8
1371,2019-08-05T06:58:29.000,35.7762,129.1992,12.1,-0.1
1372,2019-08-05T18:29:49.792,35.7858,129.3728,12.8,-0.1
1373,2019-08-06T00:28:11.680,36.0204,129.1003,3.3,0.7
1374,2019-08-06T00:47:09.164,35.8017,129.0999,19.3,0.6
1375,2019-08-06T03:05:20.983,35.9259,129.1922,3.8,0.3
1376,2019-08-06T20:34:39.859,35.7251,129.4148,14.8,0.1
1377,2019-08-06T22:15:05.832,35.7277,129.4098,14,0.3
1378,2019-08-07T11:58:29.335,35.9303,129.2537,24.4,0.2
1379,2019-08-07T12:19:29.151,35.9349,129.4042,43.1,0.5
1380,2019-08-07T14:51:47.122,35.787,129.3032,9.4,-0.4
1381,2019-08-08T03:05:49.676,35.7068,129.2729,0.8,0.3
1382,2019-08-08T03:09:57.075,35.715,129.2306,2.3,0.2
1383,2019-08-08T03:20:29.259,35.7155,129.2301,1.3,0.1
1384,2019-08-08T15:03:50.345,36.0238,129.5936,15.9,0.5
1385,2019-08-08T17:06:27.164,35.7596,129.1847,13.7,-0.2
1386,2019-08-08T23:38:29.502,35.7964,129.436,15.5,0.4
1387,2019-08-09T04:39:01.117,35.8364,129.264,19.3,0.4
1388,2019-08-09T04:49:21.718,35.7685,129.2006,16.4,0.1
1389,2019-08-09T06:35:03.870,35.717,129.23,0.9,0.1
1390,2019-08-09T06:39:25.354,35.7162,129.2279,1.1,0.1
1391,2019-08-09T15:36:05.406,35.7439,129.4212,14.1,0.1
1392,2019-08-10T01:25:20.649,35.7587,129.1918,14.1,0.4
1393,2019-08-10T01:34:16.064,35.785,129.3713,12.6,0.6
1394,2019-08-10T02:11:30.633,35.739,129.5606,44.8,1
1395,2019-08-10T03:05:02.621,35.9323,129.2004,3.2,0.1
1396,2019-08-10T03:16:55.315,35.9328,129.2009,3.3,0.2
1397,2019-08-10T12:49:50.396,35.7589,129.1927,15.5,0
1398,2019-08-11T14:27:33.757,35.7695,129.169,15.1,-0.1
1399,2019-08-11T21:33:21.894,35.8143,129.2389,12.3,-0.1
1400,2019-08-12T03:10:48.564,35.9233,129.1917,3.2,0.5
1401,2019-08-12T03:19:58.247,35.7165,129.2302,3,0.2
1402,2019-08-12T03:27:45.158,35.7163,129.2299,1.1,0.2
1403,2019-08-12T19:22:13.447,35.777,129.1855,12.1,-0.2
1404,2019-08-13T01:28:15.549,35.7608,129.2,11.1,-0.2
1405,2019-08-13T03:25:14.718,35.716,129.2317,4.1,0.1
1406,2019-08-13T07:38:08.050,35.756,129.3812,12.5,0.5
1407,2019-08-13T16:44:55.614,35.7577,129.3997,13.4,0.1
1408,2019-08-13T18:12:31.549,35.8544,129.4787,8.6,0
1409,2019-08-14T06:33:52.491,35.4982,128.885,10.7,0.4
1410,2019-08-14T07:11:52.840,35.7848,129.2236,13.9,-0.1
1411,2019-08-14T16:08:59.793,35.7609,129.1868,14.8,-0.1
1412,2019-08-14T19:33:53.143,35.7645,129.1978,14.1,0.4
1413,2019-08-15T19:10:36.814,35.7959,129.4428,17,0.4
1414,2019-08-16T04:05:52.281,35.9493,129.0201,2.5,-0.1
1415,2019-08-16T18:04:39.687,35.8461,129.2132,14.8,0
1416,2019-08-16T19:07:28.019,35.743,129.4154,13.5,1.7
1417,2019-08-16T19:08:26.987,35.7495,129.4155,13.5,-0.1
1418,2019-08-17T23:14:55.514,35.9406,128.8624,11.6,0.1
1419,2019-08-18T07:52:55.547,35.7686,129.1764,14.5,0.1
1420,2019-08-18T11:50:01.158,35.7848,129.1988,13.4,-0.2
1421,2019-08-18T16:06:56.113,35.7084,129.4085,13.5,0.1
1422,2019-08-19T03:10:59.003,35.9247,129.2038,3.1,1.2
1423,2019-08-19T11:21:47.906,35.7417,129.415,13.3,0.9
1424,2019-08-19T13:16:27.894,35.774,129.1646,12.1,-0.2
1425,2019-08-19T15:50:31.689,35.7688,129.1952,12.1,-0.3
1426,2019-08-19T16:18:57.836,35.8127,129.0919,15.3,-0.1
1427,2019-08-19T16:38:37.655,35.8213,129.1531,12.4,0.8
1428,2019-08-19T16:44:06.370,35.7642,129.202,14.2,-0.2
1429,2019-08-19T17:28:02.400,35.8105,129.3541,15.7,0.2
1430,2019-08-19T23:02:34.658,35.7408,129.4122,13.3,0.2
1431,2019-08-20T02:06:31.009,35.9438,129.2501,1.2,0.7
1432,2019-08-20T07:43:23.758,35.658,128.8267,5.4,0.5
1433,2019-08-20T12:46:41.770,35.7826,129.1762,12.3,-0.1
1434,2019-08-20T13:01:26.819,35.7304,129.0172,10.9,-0.7
1435,2019-08-20T13:47:39.172,35.7837,129.1784,12.7,0
1436,2019-08-21T01:16:16.190,35.7727,129.2196,14.2,0.1
1437,2019-08-21T08:34:06.933,35.804,129.4396,15.5,0.4
1438,2019-08-21T09:21:38.182,35.761,129.1908,13.6,1.2
1439,2019-08-22T01:26:43.052,35.7664,129.1967,15.4,0.8
1440,2019-08-22T01:33:16.836,35.4791,129.542,11.1,2
1441,2019-08-22T03:41:16.321,35.7702,129.1985,13.6,0.2
1442,2019-08-22T12:07:01.747,35.7824,129.1745,12.3,1.1
1443,2019-08-23T12:01:08.264,35.7635,129.192,13.3,-0.1
1444,2019-08-23T13:42:19.779,35.7565,129.1759,10.9,-0.3
1445,2019-08-24T02:37:54.269,35.7591,129.3822,8.4,1.3
1446,2019-08-24T03:08:27.358,35.9559,129.2816,7.5,0.2
1447,2019-08-24T12:57:16.609,35.7651,129.1931,13.9,2.1
1448,2019-08-24T15:51:28.606,35.8252,129.7057,17.1,1
1449,2019-08-24T17:21:36.789,35.7683,129.1891,12,-0.5
1450,2019-08-25T04:07:49.706,35.7795,129.1932,13.2,0
1451,2019-08-25T13:09:58.814,35.7113,129.357,10.9,-0.3
1452,2019-08-25T16:41:38.723,36.0701,129.3311,8.3,0.5
1453,2019-08-26T03:56:17.239,35.7688,129.194,13.3,-0.2
1454,2019-08-26T19:47:28.865,35.7657,129.1959,13.6,0.1
1455,2019-08-26T20:02:18.700,35.7125,129.3543,10.4,-0.1
1456,2019-08-27T00:23:42.555,35.9131,129.3676,12.9,0.8
1457,2019-08-28T04:07:34.429,36.0456,129.2155,12.1,1.2
1458,2019-08-28T12:47:02.342,35.7596,129.1945,14.2,-0.1
1459,2019-08-28T14:01:45.685,35.7292,129.4311,14.9,0.1
1460,2019-08-28T14:49:01.816,35.8827,128.8774,16.9,0.1
1461,2019-08-28T20:00:42.337,35.7594,129.1851,13.7,-0.2
1462,2019-08-29T02:58:09.464,35.5542,128.7706,12.1,1.5
1463,2019-08-29T03:05:43.317,35.8781,129.5777,15.8,0.8
1464,2019-08-29T03:09:37.156,35.9197,129.306,8,0.5
1465,2019-08-29T03:22:24.652,35.9408,129.263,10.4,0.5
1466,2019-08-29T17:00:28.307,35.7794,129.1931,12.5,-0.4
1467,2019-08-30T03:18:08.353,35.9544,129.268,7,0.3
1468,2019-08-30T08:34:34.004,35.9352,128.8823,10.8,0.9
1469,2019-08-30T12:06:24.692,35.9463,128.8518,11.8,-0.1
1470,2019-08-30T12:58:32.231,35.7603,129.1994,15.6,0.1
1471,2019-08-30T16:21:48.731,36.0193,129.8177,22.3,1.6
1472,2019-08-31T05:18:35.850,35.8505,129.2511,13.6,0.2
1473,2019-08-31T11:58:50.820,35.8483,129.0868,9.7,0.3
1474,2019-08-31T17:34:47.853,36.0739,128.6565,12.1,0.6
1475,2019-08-31T18:04:07.979,35.7832,129.3175,10,-0.5
1476,2019-08-31T21:28:55.768,35.7691,129.1808,12.3,-0.5
1477,2019-08-31T22:20:30.993,35.9349,128.8543,11.7,-0.1
1478,2019-09-01T11:06:05.460,35.7968,129.214,15.6,-0.3
1479,2019-09-01T12:43:22.017,35.6517,129.0712,13.4,0.1
1480,2019-09-01T18:55:19.934,35.3599,129.2404,13.2,0.3
1481,2019-09-02T00:05:47.130,36.0159,129.8051,20.4,2.1
1482,2019-09-02T01:12:43.431,35.7781,129.2043,14.2,0.3
1483,2019-09-02T10:29:18.283,35.7681,129.2017,13.7,-0.2
1484,2019-09-03T09:34:11.279,35.8514,129.2502,12.8,0.3
1485,2019-09-03T18:47:33.600,35.9811,129.5021,5.5,0.6
1486,2019-09-04T02:07:48.556,35.7746,129.1835,11.8,-0.2
1487,2019-09-04T09:52:41.318,35.7822,129.1808,22.5,0.1
1488,2019-09-05T08:34:19.648,35.677,128.7408,13.9,0.3
1489,2019-09-06T02:48:58.732,35.9446,129.0216,0.1,-0.1
1490,2019-09-06T13:09:12.618,35.8873,129.1432,30.7,0.3
1491,2019-09-07T03:11:26.860,35.7509,129.1782,13,1
1492,2019-09-07T03:11:33.067,35.7519,129.1857,12.9,0.5
1493,2019-09-07T08:33:54.080,35.7504,129.1787,12.8,0.8
1494,2019-09-07T12:30:52.718,35.7666,129.1824,12.7,0.6
1495,2019-09-07T14:38:06.532,35.4818,129.5382,11.4,1.9
1496,2019-09-07T18:41:36.100,35.6016,129.8022,15.8,1.5
1497,2019-09-08T01:07:21.321,35.7632,129.2047,13.2,-0.2
1498,2019-09-08T11:50:01.644,35.7819,129.1728,12.4,1.1
1499,2019-09-08T13:12:32.348,35.7836,129.1779,12.6,-0.2
1500,2019-09-08T14:12:30.087,35.7604,129.1907,14.9,-0.1
1501,2019-09-08T17:17:49.976,35.7701,129.1972,13.9,-0.2
1502,2019-09-08T18:44:58.306,35.7343,129.2921,9.9,1.1
1503,2019-09-08T20:07:25.027,35.7737,129.1849,13,-0.3
1504,2019-09-09T00:52:49.535,35.7667,129.1997,15.4,2.1
1505,2019-09-09T10:14:59.812,35.7566,129.397,12.7,0
1506,2019-09-09T10:44:36.898,35.756,129.4048,13.3,0.2
1507,2019-09-09T13:39:26.302,35.7561,129.4017,12.9,0.8
1508,2019-09-09T14:57:07.445,35.7573,129.4026,13.2,0.3
1509,2019-09-09T15:30:40.480,35.7564,129.4015,12.8,0.7
1510,2019-09-09T16:47:24.577,35.6633,129.3908,6.4,-0.1
1511,2019-09-09T17:09:15.117,35.9077,128.8939,18.4,0.2
1512,2019-09-09T19:40:03.122,35.7567,129.4024,12.4,-0.3
1513,2019-09-09T22:21:28.261,35.7745,129.1999,13.4,0
1514,2019-09-10T10:16:35.790,35.7759,129.3681,13.6,1.5
1515,2019-09-11T03:08:15.432,35.9215,129.1922,3.2,0.8
1516,2019-09-11T03:34:54.271,35.7732,129.1986,13,-0.2
1517,2019-09-11T05:08:55.068,35.7903,129.314,9.5,0.1
1518,2019-09-11T07:00:51.608,35.7555,129.2072,15.4,0
1519,2019-09-12T01:41:51.266,35.7706,129.3782,9.5,0.6
1520,2019-09-12T15:36:17.602,35.7607,129.1821,12.7,-0.1
1521,2019-09-12T18:06:33.775,35.6632,129.5031,11.2,-0.2
1522,2019-09-12T19:48:51.953,35.9523,129.1949,4.4,-0.6
1523,2019-09-13T11:48:35.639,35.7364,129.4181,13.5,-0.1
1524,2019-09-13T19:13:43.473,35.9371,128.8757,10.6,-0.5
1525,2019-09-13T21:06:12.100,35.8759,129.1144,10.6,-0.1
1526,2019-09-13T22:52:38.955,35.7681,129.2038,15.3,0.5
1527,2019-09-14T03:16:11.173,35.7825,129.1754,12.1,-0.2
1528,2019-09-14T05:03:00.671,35.7523,129.1798,13.2,0.3
1529,2019-09-14T15:50:02.732,35.7767,129.2074,15.1,0.2
1530,2019-09-15T03:49:52.574,35.7772,129.205,14.2,-0.1
1531,2019-09-15T05:59:59.095,35.7777,129.2007,13.2,-0.1
1532,2019-09-15T11:29:08.223,35.7789,129.1837,13.8,-0.4
1533,2019-09-15T16:07:08.488,35.7641,129.1931,12.2,-0.7
1534,2019-09-15T18:09:09.205,35.7596,129.2148,16.1,-0.1
1535,2019-09-15T21:12:33.488,35.7709,129.3824,8.8,-0.3
1536,2019-09-16T08:52:12.762,35.7691,129.1915,16.5,-0.1
1537,2019-09-16T13:30:56.132,35.763,129.1868,14.8,-0.1
1538,2019-09-17T03:02:54.292,35.9605,129.3866,13.7,0.8
1539,2019-09-17T04:11:08.154,35.7956,129.1926,15.4,0
1540,2019-09-17T05:30:03.264,35.8016,129.3344,14.2,0.1
1541,2019-09-17T13:24:05.552,35.7509,129.3989,14.8,-0.2
1542,2019-09-17T17:42:38.935,35.9992,129.3541,12.3,-0.1
1543,2019-09-18T15:52:40.963,35.9306,129.7419,19.3,0.8
1544,2019-09-18T23:12:08.924,35.6957,129.383,3.6,0.5
1545,2019-09-20T14:13:23.916,35.807,129.391,14.5,1.1
1546,2019-09-23T17:40:46.873,35.7848,129.3128,8.9,0.1
1547,2019-09-23T18:28:05.754,35.7821,129.315,8.6,-0.1
1548,2019-09-23T20:11:16.721,35.7849,129.3124,9,0.4
1549,2019-09-24T01:26:51.115,35.7307,129.3574,9.2,0.5
1550,2019-09-24T15:40:41.176,35.7532,129.3367,9.9,-0.1
1551,2019-09-25T16:05:28.249,35.6472,128.9928,11.3,-0.4
1552,2019-09-25T16:24:35.301,35.6463,128.9927,11.6,-0.6
1553,2019-09-25T19:45:26.513,35.7209,129.0267,11,-0.5
1554,2019-09-26T01:51:55.981,35.7687,129.1895,13.1,0.1
1555,2019-09-26T03:14:13.605,35.9266,129.1951,3.2,0.1
1556,2019-09-26T20:40:35.611,35.8922,129.0694,14.2,-0.2
1557,2019-09-27T20:43:06.048,35.7701,129.3778,9.6,0.2
1558,2019-09-28T03:43:17.029,35.7608,129.1914,15.7,0.3
1559,2019-09-28T04:35:32.743,35.7539,129.184,13.7,-0.1
1560,2019-09-28T08:47:26.473,35.7786,129.202,13.4,-0.1
1561,2019-09-28T09:30:52.001,35.8406,129.4381,19.6,0.3
1562,2019-09-28T15:24:54.388,35.7325,129.4053,12.5,0.4
1563,2019-09-29T00:20:58.512,35.8149,129.5894,17.6,0.8
1564,2019-09-29T08:25:53.292,35.7525,129.1772,13.5,-0.1
1565,2019-09-29T17:55:56.819,35.7294,129.4217,13.8,0.8
1566,2019-09-30T14:11:53.274,35.7633,129.5369,16.6,0.8
1567,2019-09-30T17:40:02.644,35.8899,129.1321,5.3,-0.1
1568,2019-09-30T19:10:19.170,35.75,129.1832,13,-0.3
1569,2019-09-30T20:21:07.024,35.7561,129.4019,13,0.2
1570,2019-09-30T23:58:13.497,35.9584,129.4409,10,0.1
1571,2019-10-01T07:31:01.595,35.7784,129.3764,11.7,0
1572,2019-10-01T11:51:38.413,35.9405,128.881,10.9,0.5
1573,2019-10-01T16:47:11.311,35.6894,129.1494,10.2,-0.1
1574,2019-10-01T17:23:53.758,35.6887,129.1495,9.8,-0.4
1575,2019-10-01T18:16:03.108,35.716,129.1895,21.7,0.1
1576,2019-10-03T00:06:24.870,35.7709,129.2054,13.7,0.1
1577,2019-10-03T00:47:52.743,35.7612,129.1879,15.1,1
1578,2019-10-03T08:08:04.618,35.7758,129.1832,12.6,0.4
1579,2019-10-03T18:57:22.929,35.4664,128.8403,8.8,2.7
1580,2019-10-03T19:51:59.494,35.6883,129.1494,10.3,-0.1
1581,2019-10-03T23:48:25.010,35.6902,129.1518,10.5,-0.2
1582,2019-10-04T10:24:22.024,35.6876,129.1525,11.5,-0.4
1583,2019-10-04T16:10:33.678,35.6904,129.1502,10.3,-0.3
1584,2019-10-05T01:05:46.149,35.7642,129.1976,13.6,0.1
1585,2019-10-05T09:59:30.541,35.7616,129.168,12.2,-0.3
1586,2019-10-06T00:37:45.203,35.7477,129.1852,15.7,0.1
1587,2019-10-06T03:33:39.483,35.7802,129.2011,14,0.5
1588,2019-10-07T05:12:38.365,35.7134,129.3513,9.3,0.2
1589,2019-10-07T09:17:44.443,35.689,129.1486,9.9,0
1590,2019-10-07T11:34:01.106,35.6882,129.1479,10.2,-0.3
1591,2019-10-07T12:17:41.975,35.7622,129.1878,15.2,0.4
1592,2019-10-07T15:42:51.242,35.7095,128.7601,18.9,0.3
1593,2019-10-07T17:45:48.165,35.7136,129.3518,9.1,0.1
1594,2019-10-07T22:28:14.043,35.6872,129.1492,10.4,-0.2
1595,2019-10-08T01:44:44.546,35.6942,129.1481,10.6,-0.1
1596,2019-10-08T01:55:23.775,35.6904,129.1519,10.6,-0.2
1597,2019-10-08T02:08:51.677,35.7647,129.0478,36,0.7
1598,2019-10-08T12:21:12.130,35.9368,128.8861,10.7,0
1599,2019-10-08T15:10:19.838,35.7423,129.1555,20.9,-0.1
1600,2019-10-08T20:18:05.869,35.7281,129.355,9.9,0.5
1601,2019-10-09T06:19:31.556,35.7644,129.1946,12.8,0.1
1602,2019-10-09T06:31:59.230,35.6896,129.1491,10.1,0.1
1603,2019-10-09T06:32:16.905,35.6902,129.1492,10.1,-0.2
1604,2019-10-09T07:14:53.732,35.7787,129.4693,37.9,0.6
1605,2019-10-09T10:28:33.164,35.6915,129.1495,10,-0.5
1606,2019-10-09T11:33:07.194,35.688,129.1519,10.7,-0.4
1607,2019-10-09T14:22:56.923,35.7574,129.4026,13.2,-0.1
1608,2019-10-09T16:35:28.568,35.689,129.1479,10.5,-0.5
1609,2019-10-09T17:37:12.283,35.6901,129.1508,10.2,-0.6
1610,2019-10-09T19:11:07.069,35.7279,129.3551,9,-0.3
1611,2019-10-10T00:48:35.669,35.6895,129.1489,10,-0.1
1612,2019-10-10T07:16:35.302,35.7608,129.19,13.8,0.5
1613,2019-10-10T13:21:59.917,35.6894,129.15,10.2,-0.2
1614,2019-10-10T14:01:01.162,35.6896,129.1503,10,-0.2
1615,2019-10-10T20:31:50.347,35.6662,129.1786,13.2,-0.3
1616,2019-10-11T06:52:06.310,35.8891,129.1076,7.9,-0.2
1617,2019-10-11T08:12:42.830,35.8381,129.2951,12.1,0.2
1618,2019-10-11T14:21:30.767,35.7709,129.1951,12.8,-0.1
1619,2019-10-11T16:17:06.528,35.6899,129.1499,10.4,-0.2
1620,2019-10-11T19:51:08.900,35.7424,129.312,22.7,0.4
1621,2019-10-12T04:17:47.839,35.6893,129.1492,10,0.6
1622,2019-10-12T09:55:03.657,35.6885,129.1202,13.8,-0.2
1623,2019-10-12T10:32:06.522,35.6906,129.1498,10.3,-0.2
1624,2019-10-12T12:17:39.256,35.6899,129.1487,10.1,-0.2
1625,2019-10-12T12:49:50.923,35.68,129.0966,17.6,0.1
1626,2019-10-12T15:18:12.317,35.7596,129.1973,15.5,0.4
1627,2019-10-13T00:36:00.894,35.69,129.1497,10.3,-0.1
1628,2019-10-13T05:50:47.560,35.7729,129.1994,13.5,0.1
1629,2019-10-13T13:19:55.787,35.6892,129.1495,10.1,0.5
1630,2019-10-13T13:25:52.198,35.7642,129.2143,18.2,-0.1
1631,2019-10-14T02:55:20.298,35.9465,128.8628,13.1,0
1632,2019-10-14T10:54:36.063,35.6889,129.1521,10.6,-0.5
1633,2019-10-14T21:00:30.753,35.7214,129.4207,14.9,0.1
1634,2019-10-14T21:09:54.849,35.7134,129.4166,14.5,0.1
1635,2019-10-14T21:48:35.676,35.6915,129.1545,11.1,-0.4
1636,2019-10-15T00:48:29.333,35.7724,129.1956,14.4,1.1
1637,2019-10-15T06:27:05.238,35.7615,129.1894,15.3,1.5
1638,2019-10-15T12:12:43.065,35.6875,129.1504,9.9,-0.2
1639,2019-10-15T18:58:03.049,35.6884,129.1477,9.3,-0.4
1640,2019-10-15T19:13:16.812,35.5155,129.1937,14.7,-0.1
1641,2019-10-15T19:13:29.127,35.6912,129.1505,9.8,-0.4
1642,2019-10-16T08:37:57.542,35.7448,129.4579,9.7,0.4
1643,2019-10-16T09:18:04.564,35.7456,129.4571,9.6,0.6
1644,2019-10-16T10:22:43.591,35.6891,129.1468,9.3,-0.5
1645,2019-10-16T12:07:43.261,35.7423,129.4647,9.5,0
1646,2019-10-16T14:08:19.065,35.6863,129.1489,9.5,-0.5
1647,2019-10-16T16:09:13.354,35.7077,129.159,10.9,-0.7
1648,2019-10-16T19:14:45.170,35.8179,129.5957,16.2,0.2
1649,2019-10-16T20:22:38.744,35.7628,129.192,13.3,0
1650,2019-10-17T00:03:44.256,35.6907,129.1514,10.2,-0.4
1651,2019-10-17T01:02:20.821,35.7628,129.195,13.8,0.3
1652,2019-10-17T03:03:44.957,35.9231,129.2014,3.3,0.3
1653,2019-10-17T04:47:29.625,35.7401,129.1918,15.1,0.2
1654,2019-10-17T12:15:27.143,35.8111,129.0952,19.9,0.1
1655,2019-10-18T07:30:21.069,35.7806,129.201,14.1,0.7
1656,2019-10-18T08:49:07.626,35.7726,129.1917,13.4,-0.1
1657,2019-10-18T12:46:37.056,35.6891,129.1494,10.2,-0.3
1658,2019-10-18T21:58:16.392,35.6893,129.1489,10,-0.4
1659,2019-10-19T06:15:18.809,35.7678,129.1858,12.7,-0.1
1660,2019-10-19T11:40:05.990,35.5971,129.3031,0,-0.3
1661,2019-10-20T05:21:53.172,35.5729,128.9528,12.1,-0.2
1662,2019-10-20T05:36:41.422,35.568,128.9445,13.1,0.6
1663,2019-10-20T08:05:36.250,35.736,129.4062,11.7,-0.2
1664,2019-10-20T19:13:46.050,35.8044,129.0688,14.6,-0.6
1665,2019-10-21T02:42:40.007,35.6528,129.1352,15.9,0.3
1666,2019-10-21T05:11:53.227,35.768,129.1897,12.9,0.9
1667,2019-10-21T11:24:15.377,35.7738,129.1828,13.3,-0.1
1668,2019-10-22T08:17:23.112,35.6898,129.1497,10.5,-0.1
1669,2019-10-22T11:21:44.994,35.8839,129.7436,15.8,0.9
1670,2019-10-22T13:42:21.543,35.7842,129.202,13.3,0.2
1671,2019-10-22T14:39:29.602,35.7784,129.2046,13.5,-0.2
1672,2019-10-22T15:33:13.993,35.6814,128.9994,17.4,0.4
1673,2019-10-22T15:34:54.021,35.404,128.8218,10.5,1.7
1674,2019-10-23T20:59:02.651,35.6902,129.15,10.3,-0.3
1675,2019-10-24T03:32:13.051,35.9233,129.2866,5.5,0.4
1676,2019-10-25T01:10:00.409,35.7862,129.3139,9.2,0.1
1677,2019-10-25T14:17:36.964,35.8912,129.1109,8.7,-0.5
1678,2019-10-25T15:29:16.373,35.8074,129.2264,17.6,-0.2
1679,2019-10-25T16:31:47.615,35.7592,129.1843,13.8,0.1
1680,2019-10-26T21:33:45.282,35.7626,129.1961,13.8,-0.4
