Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2011,12,21,21,34,19,35.8702,129.4297,0.98,12.43
2011,12,27,15,54,14,35.7231,129.3656,1.96,10.42
2011,12,30,22,34,56,35.6979,129.3842,0.49,12.71
2012,1,14,18,35,7,35.7185,129.3528,0.39,10.64
2012,1,26,17,31,14,35.6805,129.36,0.77,11.01
2012,2,7,2,36,51,35.6752,129.3663,0.73,9.23
2012,2,10,17,40,44,35.7455,129.3716,0.62,14.76
2012,2,18,15,29,1,35.7964,129.3669,0.79,10.69
2012,2,24,7,36,12,35.7939,129.397,0.9,14.0
2012,3,11,12,29,53,35.7017,129.3674,0.57,9.54
2012,3,12,10,14,57,35.7191,129.4091,0.93,8.81
2012,3,13,2,30,2,35.7182,129.4057,1.81,8.85
2012,3,16,1,48,45,35.7977,129.3327,0.57,14.96
2012,3,19,4,34,8,35.7284,129.3486,0.07,11.37
2012,3,21,20,41,57,35.7139,129.4086,0.86,8.88
2012,3,24,20,6,54,35.6887,129.3584,0.51,9.04
2012,3,28,20,32,30,35.7098,129.3571,0.88,10.44
2012,4,2,20,29,22,35.7173,129.4073,0.77,11.8
2012,4,10,2,56,56,35.7145,129.3551,0.98,10.56
2012,4,10,3,40,10,35.6796,129.3576,0.45,8.43
2012,4,11,6,5,29,35.8373,129.2809,0.58,11.99
2012,4,28,7,38,53,35.7417,129.4705,1.21,10.58
2012,5,5,5,29,4,35.7294,129.3437,0.29,10.37
2012,5,14,17,40,8,35.7088,129.3565,0.95,9.75
2012,5,29,14,14,31,35.6987,129.3443,0.85,9.31
2012,6,14,23,53,45,35.718,129.3888,-0.21,11.61
2012,6,16,20,0,47,35.7188,129.4046,1.38,11.21
2012,6,17,0,26,31,35.7272,129.3529,0.69,10.46
2012,6,27,3,23,38,35.7914,129.3889,0.42,14.33
2012,6,30,17,34,15,35.7383,129.3882,0.39,11.1
2012,7,8,9,43,29,35.7162,129.3637,2.4,9.73
2012,7,10,5,36,35,35.8122,129.4215,0.62,15.33
2012,7,10,8,5,22,35.81,129.4243,1.04,15.46
2012,7,21,22,27,6,35.686,129.5306,0.83,15.59
2012,7,22,1,47,30,35.6852,129.5367,1.07,15.66
2012,7,24,13,54,59,35.7994,129.371,0.81,10.62
2012,7,30,6,21,35,35.752,129.3825,0.76,12.3
2012,8,1,8,22,10,35.7697,129.3584,0.3,17.96
2012,8,1,8,23,39,35.7675,129.3592,0.5,17.9
2012,8,23,3,53,28,35.7091,129.3575,0.25,10.33
2012,9,4,11,53,52,35.7899,129.3903,0.65,10.2
2012,9,5,0,55,40,35.6825,129.3708,0.05,12.25
2012,9,6,2,32,25,35.7875,129.398,1.06,8.31
2012,9,10,21,30,15,35.8319,129.4042,0.83,11.32
2012,9,10,21,33,22,35.8338,129.4063,1.48,11.58
2012,9,10,22,6,3,35.8333,129.4057,2.54,11.53
2012,9,11,4,38,49,35.8311,129.405,0.78,11.56
2012,9,15,6,22,48,35.8347,129.4079,0.64,11.24
2012,9,23,22,8,6,35.6757,129.4825,0.54,10.62
2012,9,27,2,15,39,35.7163,129.3548,0.48,9.29
2012,9,27,16,48,16,35.7343,129.3698,0.79,21.59
2012,10,6,3,22,50,35.685,129.5337,0.72,15.4
2012,10,13,16,44,39,35.7164,129.411,0.78,12.93
2012,10,14,12,29,57,35.7352,129.3898,0.52,11.14
2012,10,20,4,59,16,35.8091,129.4354,1.06,15.49
2012,10,20,15,11,48,35.7154,129.4096,0.93,12.88
2012,10,27,5,11,23,35.7692,129.387,0.54,12.09
2012,11,26,13,20,47,35.7023,129.3693,0.48,9.24
2012,11,30,12,18,5,35.6837,129.539,1.15,14.73
2012,12,6,14,37,16,35.7132,129.3694,1.11,9.94
2013,1,2,5,20,59,35.7235,129.371,0.53,10.28
2013,1,16,6,29,16,35.726,129.3585,0.64,10.05
2013,1,17,15,10,26,35.6916,129.3597,0.66,8.92
2013,1,20,6,43,46,35.734,129.4212,0.54,13.33
2013,2,1,9,18,42,35.7778,129.3295,0.42,11.31
2013,2,15,23,49,59,35.8507,129.2746,2.43,8.79
2013,2,17,7,14,8,35.8502,129.2744,2.03,8.51
2013,3,4,21,31,30,35.847,129.2754,0.34,10.0
2013,3,7,7,23,26,35.6933,129.3685,0.11,8.42
2013,3,9,11,12,13,35.8498,129.2775,1.11,8.88
2013,3,16,22,15,2,35.8244,129.3268,0.41,14.14
2013,3,17,4,39,28,35.7225,129.3685,0.77,10.07
2013,3,22,15,10,47,35.7425,129.4203,0.81,13.02
2013,3,22,20,58,50,35.7405,129.4189,0.92,13.12
2013,3,22,22,40,4,35.7416,129.4198,0.92,13.19
2013,3,23,10,53,21,35.7204,129.3919,0.08,10.44
2013,3,25,2,2,10,35.6875,129.4121,-0.04,7.94
2013,3,27,20,50,22,35.7237,129.4174,0.72,7.11
2013,3,28,1,20,30,35.7201,129.4193,-0.21,6.9
2013,3,28,10,52,9,35.6874,129.358,0.1,8.3
2013,3,31,20,14,24,35.8102,129.3428,0.44,15.21
2013,3,31,22,25,7,35.7863,129.3881,0.02,13.06
2013,4,1,4,32,18,35.7283,129.3692,0.24,10.29
2013,4,1,6,44,23,35.794,129.3882,0.54,12.71
2013,4,2,4,43,55,35.7832,129.389,0.4,13.21
2013,4,24,13,6,13,35.7004,129.3687,0.38,9.17
2013,4,24,22,20,27,35.7859,129.3724,0.58,14.97
2013,5,8,12,33,4,35.8849,129.4385,0.59,11.39
2013,6,3,4,6,6,35.7182,129.4045,0.85,8.33
2013,6,7,11,40,22,35.7076,129.3593,0.69,9.87
2013,6,14,5,24,17,35.7112,129.3717,0.23,10.0
2013,6,24,4,2,18,35.7129,129.3583,0.67,9.91
2013,6,30,0,54,11,35.6929,129.3599,0.02,8.83
2013,6,30,6,8,52,35.8297,129.446,0.3,15.81
2013,6,30,12,58,41,35.8301,129.4458,0.89,15.75
2013,6,30,13,6,36,35.8287,129.4456,1.06,16.01
2013,7,10,20,0,47,35.6462,129.4673,0.76,19.63
2013,7,14,2,38,33,35.7148,129.3696,0.49,10.09
2013,7,22,8,46,30,35.7747,129.3887,0.27,11.33
2013,7,24,1,59,56,35.7205,129.4119,0.32,13.15
2013,7,26,23,28,56,35.8353,129.4117,0.47,10.73
2013,7,27,6,56,48,35.8481,129.3074,0.33,14.35
2013,8,17,12,20,24,35.7709,129.3717,0.41,14.36
2013,8,17,12,26,46,35.7375,129.3694,0.59,14.34
2013,8,17,12,28,33,35.7567,129.3603,0.3,13.92
2013,8,27,2,38,6,35.8146,129.4171,0.84,15.01
2013,9,6,18,14,32,35.7057,129.3842,1.14,14.26
2013,9,7,12,22,26,35.7927,129.3919,0.26,14.04
2013,9,15,0,6,27,35.7223,129.3687,1.51,10.11
2013,9,20,8,40,23,35.7129,129.3707,0.46,10.12
2013,9,24,3,24,37,35.7123,129.4063,0.54,10.56
2013,9,24,11,57,37,35.6979,129.3692,0.49,8.98
2013,9,26,22,56,38,35.8078,129.438,0.53,15.11
2013,9,27,11,39,53,35.8159,129.4659,0.85,8.4
2013,9,29,13,22,47,35.7036,129.3686,0.56,9.42
2013,10,6,7,31,11,35.6835,129.4068,0.24,9.03
2013,10,11,12,45,58,35.6846,129.4077,0.36,9.14
2013,10,11,18,52,26,35.6602,129.3852,0.18,10.09
2013,10,19,5,54,30,35.6848,129.3846,0.09,12.19
2013,10,19,6,2,58,35.8351,129.2835,0.51,12.08
2013,10,20,8,27,13,35.7399,129.3929,0.03,9.36
2013,11,6,15,48,26,35.6699,129.364,0.86,11.15
2013,11,10,8,26,47,35.6511,129.4876,1.27,17.6
2013,11,14,4,24,34,35.7381,129.4154,0.5,12.11
2013,11,14,10,28,56,35.6736,129.3717,0.57,9.91
2013,11,19,3,25,23,35.7081,129.3951,0.4,9.83
2013,11,21,3,37,55,35.6784,129.5331,1.0,14.57
2013,11,22,23,41,37,35.7105,129.3531,0.33,9.29
2013,12,5,14,2,36,35.7146,129.3688,1.0,9.7
2013,12,8,4,26,53,35.7042,129.371,-0.15,9.41
2013,12,17,4,18,51,35.7214,129.3666,0.28,9.99
2013,12,23,12,18,52,35.6173,129.353,0.28,8.65
2013,12,27,2,55,6,35.7065,129.3688,0.05,9.48
2013,12,28,21,34,53,35.7741,129.3942,0.47,11.86
2014,1,3,6,19,22,35.7168,129.3423,0.8,10.0
2014,1,3,15,6,17,35.705,129.3711,0.09,9.44
2014,1,5,7,23,32,35.7186,129.397,-0.02,11.96
2014,1,5,9,28,13,35.7076,129.3694,0.35,9.59
2014,1,5,10,23,19,35.7229,129.4032,0.67,9.3
2014,1,7,12,8,5,35.6805,129.402,0.81,16.46
2014,1,7,14,43,58,35.7268,129.366,0.13,10.21
2014,1,8,12,24,1,35.7419,129.4475,0.56,2.95
2014,1,9,8,20,49,35.6949,129.5398,1.0,16.16
2014,1,10,7,58,34,35.7398,129.3036,0.44,8.15
2014,1,16,14,20,33,35.7626,129.3682,0.1,13.59
2014,1,29,12,27,28,35.7287,129.4461,0.67,20.09
2014,1,29,15,56,27,35.7189,129.3903,0.47,11.08
2014,1,30,1,28,21,35.7066,129.4049,-0.04,6.17
2014,2,6,17,27,43,35.6934,129.3977,0.74,14.78
2014,2,18,11,9,45,35.7133,129.3489,0.74,9.34
2014,2,22,20,49,10,35.7067,129.4031,1.0,14.25
2014,3,1,4,59,25,35.7301,129.4483,1.1,13.93
2014,3,8,17,33,28,35.7818,129.3105,0.64,9.24
