event_idx,time,lat,lon,depth,magnitude
126,2011-02-23 07:52:43.930000+00:00,35.7175,129.3663,10.23,1.3628510518853827
132,2011-03-03 05:43:10.630000+00:00,35.7317,129.3699,10.56,1.8377547988551743
133,2011-03-05 03:55:19.280000+00:00,35.8068,129.298,11.59,0.3643802309372703
141,2011-03-14 19:11:00.610000+00:00,35.7163,129.3927,13.05,0.313123619270426
142,2011-03-22 08:06:07.530000+00:00,35.7323,129.3878,13.11,0.925917648967785
148,2011-04-12 21:44:06.310000+00:00,35.6843,129.3667,8.62,0.7231814253572558
150,2011-04-16 12:42:48.300000+00:00,35.7281,129.3855,12.49,0.5258811346362
151,2011-04-29 08:30:09.140000+00:00,35.7879,129.3346,14.75,0.3760374908527972
154,2011-05-04 12:38:33.990000+00:00,35.6971,129.3659,9.37,0.5670192132092557
155,2011-05-04 16:12:09.680000+00:00,35.7197,129.3671,10.37,0.8391423086081738
156,2011-05-04 18:08:19.270000+00:00,35.6859,129.3674,8.73,0.5087290711590107
158,2011-05-14 19:16:28.280000+00:00,35.6884,129.3521,8.64,0.6608303574522433
160,2011-05-20 03:16:05.710000+00:00,35.7975,129.2997,10.56,0.3342079490134442
161,2011-05-21 03:20:33.880000+00:00,35.7852,129.3037,11.13,0.2829304340623852
164,2011-05-28 04:40:41.240000+00:00,35.7066,129.3679,9.97,0.9782107839979846
165,2011-05-29 06:03:05.730000+00:00,35.7192,129.3776,9.9,1.0764257676024118
168,2011-06-02 15:46:00.090000+00:00,35.7429,129.3696,14.52,0.593069058295085
170,2011-06-04 03:12:21+00:00,35.7712,129.3006,10.74,0.4360466202286797
171,2011-06-06 21:53:52.170000+00:00,35.7447,129.3627,19.39,0.6965924471502005
172,2011-06-07 03:00:57.260000+00:00,35.7545,129.2924,34.37,0.9949265982155387
174,2011-06-11 15:05:28.360000+00:00,35.785,129.3612,15.9,0.5666141316431859
177,2011-06-22 03:11:21.780000+00:00,35.826,129.2945,9.67,0.5545486230021661
187,2011-08-02 13:23:43.510000+00:00,35.7544,129.3925,14.02,-0.0280517564715114
188,2011-08-04 00:56:46.510000+00:00,35.7527,129.3741,13.2,0.5923669797565505
190,2011-08-22 15:24:56.040000+00:00,35.7492,129.2861,10.64,0.0825014994347965
191,2011-08-23 11:59:06.840000+00:00,35.7096,129.2934,9.24,0.6023955639938137
193,2011-08-25 05:17:10.380000+00:00,35.6732,129.403,9.72,0.8451911943720568
196,2011-09-06 09:53:39.450000+00:00,35.8212,129.414,14.79,0.951473922115345
200,2011-09-11 17:57:56.070000+00:00,35.6921,129.3549,8.9,0.2898644301102553
201,2011-09-13 12:10:41.170000+00:00,35.7618,129.2851,10.38,0.2357721402491233
209,2011-10-29 05:25:17.660000+00:00,35.7763,129.38,13.73,2.1690218531973424
210,2011-10-30 08:45:31.780000+00:00,35.7076,129.3643,9.24,0.3772737975426605
211,2011-11-02 10:00:04+00:00,35.7122,129.2794,17.01,0.2104354910550374
212,2011-11-07 18:56:14.980000+00:00,35.7995,129.4383,15.28,0.7422892605388146
214,2011-11-13 06:32:13.470000+00:00,35.8144,129.307,8.05,0.6240945928892355
215,2011-11-19 16:44:12.620000+00:00,35.7229,129.3852,12.5,0.7077906658777331
220,2011-12-01 15:59:50.860000+00:00,35.6852,129.3668,8.76,0.4372558405860884
223,2011-12-07 17:58:05.810000+00:00,35.8962,129.399,14.76,0.5963594284348185
224,2011-12-19 10:33:15.300000+00:00,35.7172,129.3557,9.92,0.6214492030616061
225,2011-12-20 10:23:54.630000+00:00,35.8121,129.3902,13.24,0.5321685845558168
227,2011-12-21 12:34:19.320000+00:00,35.8702,129.4297,12.43,0.9761694390183856
230,2011-12-27 06:54:14.520000+00:00,35.7231,129.3656,10.42,1.957327104763697
232,2011-12-30 13:34:56.270000+00:00,35.6979,129.3842,12.71,0.4850158535100228
236,2012-01-14 09:35:07.140000+00:00,35.7185,129.3528,10.64,0.387210841743407
240,2012-01-26 08:31:14.140000+00:00,35.6805,129.36,11.01,0.7662244121075318
241,2012-02-06 17:36:51.210000+00:00,35.6752,129.3663,9.23,0.7272645492628828
243,2012-02-10 08:40:44.390000+00:00,35.7455,129.3716,14.76,0.6238433809334384
244,2012-02-18 06:29:01.870000+00:00,35.7964,129.3669,10.69,0.7853287103333528
247,2012-02-23 22:36:12.110000+00:00,35.7939,129.397,14.0,0.8984894997626051
248,2012-03-11 03:29:53.680000+00:00,35.7017,129.3674,9.54,0.5710804340905584
249,2012-03-12 01:14:57.790000+00:00,35.7191,129.4091,8.81,0.9290880170696424
250,2012-03-12 17:30:02.490000+00:00,35.7182,129.4057,8.85,1.8074993662827548
251,2012-03-15 16:48:45.500000+00:00,35.7977,129.3327,14.96,0.5733890235439958
252,2012-03-18 19:34:08.030000+00:00,35.7284,129.3486,11.37,0.0696502048601605
254,2012-03-21 11:41:57.940000+00:00,35.7139,129.4086,8.88,0.8589301905769442
256,2012-03-24 11:06:54.540000+00:00,35.6887,129.3584,9.04,0.5132654120415789
258,2012-03-28 11:32:30.610000+00:00,35.7098,129.3571,10.44,0.882340038824119
260,2012-04-02 11:29:22.430000+00:00,35.7173,129.4073,11.8,0.7698834191598837
262,2012-04-09 17:56:56.110000+00:00,35.7145,129.3551,10.56,0.9796459380415332
263,2012-04-09 18:40:10.960000+00:00,35.6796,129.3576,8.43,0.4451295257660391
264,2012-04-10 21:05:29.880000+00:00,35.8373,129.2809,11.99,0.5758892714373902
270,2012-04-27 22:38:53.020000+00:00,35.7417,129.4705,10.58,1.2125785800642117
274,2012-05-04 20:29:04.910000+00:00,35.7294,129.3437,10.37,0.2906488874693826
279,2012-05-14 08:40:08.770000+00:00,35.7088,129.3565,9.75,0.9478574786200482
287,2012-05-29 05:14:31.900000+00:00,35.6987,129.3443,9.31,0.852730989508626
293,2012-06-14 14:53:45.940000+00:00,35.718,129.3888,11.61,-0.2052236936333972
296,2012-06-16 11:00:47.070000+00:00,35.7188,129.4046,11.21,1.381559142489225
297,2012-06-16 15:26:31.710000+00:00,35.7272,129.3529,10.46,0.6938449340546461
299,2012-06-26 18:23:38.050000+00:00,35.7914,129.3889,14.33,0.4178655720553854
301,2012-06-30 08:34:15.610000+00:00,35.7383,129.3882,11.1,0.3910686027182246
306,2012-07-08 00:43:29.050000+00:00,35.7162,129.3637,9.73,2.402856365558599
307,2012-07-09 20:36:35.830000+00:00,35.8122,129.4215,15.33,0.6212635857106661
308,2012-07-09 23:05:22.590000+00:00,35.81,129.4243,15.46,1.0433738887337085
311,2012-07-21 13:27:06.270000+00:00,35.686,129.5306,15.59,0.8267432813461433
312,2012-07-21 16:47:30.630000+00:00,35.6852,129.5367,15.66,1.065374130595998
314,2012-07-24 04:54:59.620000+00:00,35.7994,129.371,10.62,0.8111073042855111
315,2012-07-29 21:21:35.550000+00:00,35.752,129.3825,12.3,0.7623177093698512
317,2012-07-31 23:22:10.920000+00:00,35.7697,129.3584,17.96,0.3033844195003717
318,2012-07-31 23:23:39.280000+00:00,35.7675,129.3592,17.9,0.4950099354092858
326,2012-08-22 18:53:28.990000+00:00,35.7091,129.3575,10.33,0.2464596868312459
327,2012-09-04 02:53:52.600000+00:00,35.7899,129.3903,10.2,0.6465975808223988
328,2012-09-04 15:55:40.170000+00:00,35.6825,129.3708,12.25,0.0494223892540394
329,2012-09-05 17:32:25.150000+00:00,35.7875,129.398,8.31,1.0596883421363978
331,2012-09-10 12:30:15.810000+00:00,35.8319,129.4042,11.32,0.8340245235493584
332,2012-09-10 12:33:22.500000+00:00,35.8338,129.4063,11.58,1.4782950910819252
333,2012-09-10 13:06:03+00:00,35.8333,129.4057,11.53,2.539530718719485
334,2012-09-10 19:38:49.280000+00:00,35.8311,129.405,11.56,0.7791908177573424
335,2012-09-14 21:22:48.730000+00:00,35.8347,129.4079,11.24,0.6362623099416227
338,2012-09-23 13:08:06.930000+00:00,35.6757,129.4825,10.62,0.543091033759109
340,2012-09-26 17:15:39.210000+00:00,35.7163,129.3548,9.29,0.4826540255926437
341,2012-09-27 07:48:16.870000+00:00,35.7343,129.3698,21.59,0.792146160181331
343,2012-10-05 18:22:50.280000+00:00,35.685,129.5337,15.4,0.7231122914260723
351,2012-10-13 07:44:39.740000+00:00,35.7164,129.411,12.93,0.7760264013152843
