id,n,n_relocated,status,stage_failed,note,mean_cc,lat_c,lon_c,depth_med_km,abs_spread_horiz_m,abs_spread_depth_m,dtcc_spread_horiz_m,dtcc_spread_depth_m,collapse_ratio,boot_horiz95_m,boot_depth95_m,t_first,t_last,span_days,recur_med_days,daytime_frac,rayleigh_p
256,3,3,done_cached,,,0.92,35.685,129.5337,15.4,178,275,22.0,5.0,0.126,166.0,177.0,2012-10-05,2012-10-05,0.0,,0.0,0.46
25,3,3,done_cached,,,0.94,35.7819,129.517,14.78,88,409,10.0,6.0,0.117,144.0,152.0,2022-02-04,2023-04-16,436.4,218.2,0.33,0.648
59,3,3,done_cached,,,0.936,35.8154,129.3121,10.66,54,150,4.0,19.0,0.069,15.0,19.0,2020-06-10,2021-05-19,343.6,171.8,0.67,0.901
91,3,3,done_cached,,,0.911,35.7955,129.3226,10.16,237,192,5.0,4.0,0.02,77.0,53.0,2020-10-23,2021-06-20,239.9,120.0,0.0,0.04
247,3,3,done_cached,,,0.95,35.71,129.3409,6.21,164,206,9.0,8.0,0.056,69.0,111.0,2024-03-25,2024-03-25,0.1,0.0,0.0,0.04
184,3,3,done_cached,,,0.959,35.7706,129.2916,9.8,80,144,4.0,2.0,0.045,20.0,20.0,2024-10-26,2024-10-27,0.6,0.3,0.33,0.75
208,3,3,done_cached,,,0.939,,,,291,272,40.0,29.0,0.137,251.0,170.0,nan,nan,,,,
316,3,2,done_cached,,,0.905,35.8193,129.4148,14.59,232,57,33.0,19.0,0.141,282.0,531.0,2017-04-23,2017-04-24,0.5,0.2,0.33,0.72
368,3,3,done_cached,,,0.922,35.7974,129.4342,15.43,152,235,9.0,3.0,0.057,70.0,71.0,2017-08-12,2017-08-23,10.7,5.4,0.0,0.347
214,3,3,done_cached,,,0.912,35.8339,129.4066,11.53,158,211,18.0,31.0,0.116,311.0,384.0,2012-09-10,2012-09-14,4.4,2.2,0.33,0.467
307,3,3,done_cached,,,0.863,35.8208,129.4176,14.32,205,273,15.0,2.0,0.075,78.0,86.0,2017-04-23,2017-04-23,0.2,0.1,0.67,0.091
389,3,3,done_cached,,,0.914,35.7349,129.4293,10.1,595,568,6.0,7.0,0.01,266.0,570.0,2016-02-22,2016-02-23,1.0,0.5,0.33,0.134
563,3,2,done_cached,,,0.938,35.8319,129.4074,10.85,312,0,6.0,3.0,0.018,172.0,189.0,2024-05-17,2024-08-31,106.6,53.3,0.33,0.399
647,3,3,done_cached,,,0.935,35.8092,129.421,14.17,254,391,7.0,10.0,0.029,339.0,398.0,2016-03-22,2017-03-23,366.3,183.1,0.33,0.75
414,3,3,done_cached,,,0.916,35.7099,129.4055,12.9,209,114,33.0,10.0,0.158,40.0,46.0,2018-07-23,2018-07-26,3.8,1.9,0.33,0.901
852,3,3,done_cached,,,0.922,35.7413,129.4585,10.06,161,76,6.0,7.0,0.035,310.0,332.0,2015-07-20,2016-06-03,318.7,159.3,0.0,0.218
827,3,3,done_cached,,,0.937,35.8001,129.416,13.79,366,453,107.0,83.0,0.293,307.0,328.0,2014-09-25,2014-09-29,3.7,1.8,0.0,0.551
813,3,3,done_cached,,,0.896,35.8008,129.4143,14.2,365,195,7.0,7.0,0.02,237.0,232.0,2014-09-21,2014-09-22,0.7,0.3,0.33,0.287
790,3,3,done_cached,,,0.917,35.7793,129.3641,15.16,355,127,16.0,1.0,0.044,240.0,169.0,2014-04-24,2014-04-28,3.5,1.8,0.67,0.75
731,3,3,done_cached,,,0.922,35.6951,129.3748,10.55,291,0,78.0,48.0,0.267,364.0,358.0,2016-10-25,2016-10-25,0.0,0.0,0.0,0.04
694,3,3,done_cached,,,0.939,35.7858,129.3802,12.85,163,173,28.0,23.0,0.172,183.0,217.0,2014-05-09,2014-08-25,108.5,54.2,0.33,0.807
585,3,3,done_cached,,,0.923,35.7125,129.3686,9.7,1395,540,146.0,17.0,0.105,239.0,96.0,2010-05-27,2010-09-03,98.7,49.3,0.67,0.928
482,3,3,done_cached,,,0.898,35.805,129.4642,10.4,64,125,17.0,4.0,0.275,97.0,91.0,2022-11-09,2022-11-09,0.5,0.2,0.33,0.75
909,3,3,done_cached,,,0.918,35.7662,129.3768,9.8,211,193,7.0,9.0,0.033,72.0,87.0,2019-01-27,2019-01-28,0.9,0.4,0.0,0.15
880,3,3,done_cached,,,0.944,35.7417,129.4612,10.42,750,503,17.0,13.0,0.022,120.0,106.0,2022-09-27,2022-09-27,0.0,0.0,0.0,0.037
928,3,3,done_cached,,,0.967,35.7878,129.3884,13.06,632,265,25.0,29.0,0.04,568.0,265.0,2013-03-31,2013-04-01,1.3,0.6,0.33,0.311
1105,3,3,done_cached,,,0.908,35.7884,129.4155,10.5,270,121,61.0,43.0,0.226,190.0,137.0,2020-07-29,2020-07-30,0.4,0.2,0.33,0.628
1085,3,3,done_cached,,,0.89,35.7659,129.3772,9.37,415,315,22.0,16.0,0.053,82.0,73.0,2019-05-31,2019-09-27,119.0,119.0,0.0,0.135
1020,3,3,done_cached,,,0.892,35.7271,129.3685,10.28,503,1282,50.0,5.0,0.099,120.0,140.0,2019-12-23,2022-05-25,883.7,441.9,0.0,0.198
1045,3,3,done_cached,,,0.964,35.7087,129.4076,12.99,261,188,3.0,2.0,0.01,60.0,68.0,2022-06-21,2022-06-22,0.8,0.4,0.0,0.167
1052,3,3,done_cached,,,0.924,35.7684,129.389,11.71,79,100,168.0,76.0,2.124,249.0,151.0,2024-09-01,2024-09-01,0.2,0.2,1.0,0.244
1140,3,3,done_cached,,,0.936,35.7713,129.3788,12.22,260,114,58.0,22.0,0.222,153.0,123.0,2021-08-31,2022-03-06,187.7,93.8,0.33,0.347
1128,3,3,done_cached,,,0.912,35.823,129.4042,13.27,188,263,14.0,1.0,0.076,30.0,8.0,2022-08-03,2022-09-08,35.9,17.9,0.33,0.634
1113,3,3,done_cached,,,0.952,35.7426,129.4153,12.92,951,523,3.0,6.0,0.003,171.0,170.0,2019-03-22,2019-03-23,0.4,0.2,0.67,0.399
1148,3,3,done_cached,,,0.901,35.7428,129.3734,9.52,1540,1580,104.0,25.0,0.068,509.0,467.0,2022-03-21,2022-03-25,3.9,2.0,0.0,0.057
1210,3,3,done_cached,,,0.874,35.7106,129.355,9.93,236,284,47.0,98.0,0.198,181.0,218.0,2021-03-22,2024-05-09,1144.3,572.1,0.0,0.167
1186,3,3,done_cached,,,0.911,35.7549,129.3806,12.46,347,460,213.0,284.0,0.615,122.0,189.0,2019-12-22,2021-02-21,427.1,213.6,0.33,0.648
1152,3,3,done_cached,,,0.938,35.7535,129.3861,11.97,405,89,38.0,52.0,0.094,114.0,105.0,2023-01-05,2023-01-05,0.1,0.0,0.33,0.048
1230,3,3,done_cached,,,0.936,35.7498,129.3943,10.54,285,182,140.0,165.0,0.491,410.0,312.0,2019-11-14,2019-11-14,0.0,0.0,0.0,0.037
1232,3,3,done_cached,,,0.969,35.7647,129.3943,11.93,204,137,3.0,6.0,0.015,25.0,30.0,2023-02-05,2023-02-28,23.1,11.6,0.0,0.385
1220,3,3,done_cached,,,0.971,35.7087,129.3565,9.14,413,437,9.0,5.0,0.022,211.0,148.0,2024-02-08,2024-02-25,17.6,8.8,0.67,0.75
1221,3,3,done_cached,,,0.971,35.7181,129.3521,9.61,259,1061,190.0,436.0,0.734,104.0,177.0,2021-08-09,2021-08-17,8.6,4.3,0.67,0.83
1335,3,0,absolute_only,dtcc,TIMEOUT after 600s,0.896,35.6949,129.37,8.84,797,374,,,,,,2010-01-17,2010-02-24,38.7,19.4,0.33,0.244
1377,3,2,done,,,0.902,35.7214,129.4045,12.75,255,92,16.0,7.0,0.064,69.0,60.0,2019-01-25,2019-01-25,0.6,0.3,0.67,0.807
1397,3,3,done,,,0.909,35.7764,129.3911,13.44,222,166,109.0,118.0,0.49,307.0,319.0,2015-09-19,2015-09-20,0.4,0.2,1.0,0.59
1423,3,2,done,,,0.94,35.7105,129.367,9.97,191,247,162.0,91.0,0.852,112.0,57.0,2011-05-28,2012-03-11,288.0,144.0,1.0,0.057
1424,3,0,absolute_only,dtcc,100 68 14 -22.0 24 1 2 1 0 0 0 14 14 100 68 14 -0.9 25 3 11 5 0 0 0 15 15 100 68 14 -0.5 26 2 11 5 0 0 0 16 16 100 68 14 -0.1 27 2 9 6 0 0 0,0.924,35.6863,129.3668,9.31,1127,626,,,,,,2010-12-10,2011-05-04,144.7,72.4,0.0,0.218
