family_id,n,slug,status,n_relocated,t_seconds,stage_failed,error_msg,timestamp
920,9,f920_b515_reuse,done,8,39.8,,,2026-06-11 23:33:17
921,6,f921_b515_reuse,done,6,45.5,,,2026-06-11 23:41:06
922,4,f922_b515_reuse,done,4,13.4,,,2026-06-11 23:53:55
924,9,f924_b515_reuse,done,8,45.1,,,2026-06-11 23:32:37
926,4,f926_b515_reuse,done,4,28.3,,,2026-06-11 23:51:31
927,7,f927_b515_reuse,done,7,33.7,,,2026-06-11 23:36:37
928,139,f928_b515_reuse,done,130,1315.4,,,2026-06-12 09:17:31
933,3,f933_b515_reuse,done,3,24.0,,,2026-06-12 00:06:29
934,5,f934_b515_reuse,done,5,29.3,,,2026-06-11 23:47:13
954,3,f954_b515_reuse,done,3,22.2,,,2026-06-12 00:06:05
1025,6,f1025_b515_reuse,done,6,14.9,,,2026-06-11 23:41:21
1026,20,f1026_b515_reuse,done,17,37.1,,,2026-06-11 23:24:36
1044,39,f1044_b515_reuse,done,39,106.6,,,2026-06-11 23:16:10
1058,7,f1058_b515_reuse,done,6,11.6,,,2026-06-11 23:38:30
1062,7,f1062_b515_reuse,done,7,12.5,,,2026-06-11 23:38:19
1078,10,f1078_b515_reuse,done,9,17.1,,,2026-06-11 23:30:54
1085,3,f1085_b515_reuse,done,3,18.4,,,2026-06-12 00:06:47
1121,8,f1121_b515_reuse,done,7,15.1,,,2026-06-11 23:35:20
1124,3,f1124_b515_reuse,done,3,11.1,,,2026-06-12 00:06:58
1143,5,f1143_b515_reuse,done,5,15.5,,,2026-06-11 23:46:44
1144,5,f1144_b515_reuse,done,5,26.5,,,2026-06-11 23:46:29
1260,3,f1260_b515_reuse,done,3,12.0,,,2026-06-12 00:07:10
