Station,Start,End,PCA_Median,PCA_MAD,PCA_Mean,PCA_Stdev,PCA_DataNum,MinT_Median,MinT_MAD,MinT_Mean,MinT_Stdev,MinT_DataNum
N133,2020-01-02,2024-12-31,15.82,2.86,15.7,4.49,77,15.75,2.78,15.78,4.2,78
N134,2019-06-01,2024-12-31,353.7,3.3,353.53,5.29,73,353.26,2.82,352.86,4.46,67
N135,2019-06-01,2020-10-19,12.64,3.87,10.75,5.87,16,12,4.98,10.25,6.58,16
N135,2020-10-30,2024-12-31,349.44,2.31,349.95,4.51,9,348.09,4.64,348.03,7.29,7
N136,2019-06-01,2024-12-31,2.39,4.05,1.43,6.24,85,1.74,3.73,1.35,5.32,94
N137,2019-06-01,2020-01-19,352.27,1.98,351.87,2.9,23,352.3,1.9,351.9,2.87,23
N137,2020-02-13,2024-12-31,2.85,2.44,2.6,3.53,57,2.13,2.73,2.76,4.03,61
N138,2019-06-01,2024-12-31,11.95,2.45,11.64,3.41,98,11.85,2.55,11.25,3.66,100
N139,2019-06-01,2024-12-31,7.55,2.69,7.78,3.99,96,8.01,2.32,7.69,3.53,92
N140,2019-06-01,2024-12-31,15.34,3.85,15.49,6.32,60,15.51,3.63,15.43,4.55,59
N141,2019-06-01,2020-01-02,357.03,3.53,355.76,5.1,16,356.17,4.09,354.78,4.21,17
N141,2020-04-10,2024-12-31,27.29,3.86,26.86,4.9,40,27.69,3.63,27.41,4.59,42
N142,2019-06-01,2020-01-07,28.39,3.05,28.37,5.23,27,28.33,2.65,28.66,4.4,26
N142,2020-02-13,2024-12-31,7.61,4.75,7.16,6.39,58,6.58,3.6,6.56,4.99,60
N143,2019-06-01,2024-12-31,21.22,3.35,20.88,5.46,71,21.44,2.55,21.06,3.75,64
N144,2019-06-01,2024-12-31,14.82,4.36,15.23,6.44,75,15.17,4.08,15.33,5.93,78
N145,2019-06-01,2024-12-31,10.84,3.74,9.3,6.81,52,9.34,3.97,7.67,6.13,50
N146,2019-06-01,2020-03-18,350.81,5.81,350.54,10.42,10,353.14,5.14,352.56,6.06,7
N146,2020-04-10,2024-12-31,15.76,4.94,16.18,6.24,28,16.79,4.64,16.18,5.94,28
N147,2019-06-01,2019-11-08,10.44,2.24,11.32,3.06,6,10.09,2.3,10.59,2.67,6
N147,2019-11-14,2024-12-31,355.9,2.3,356.58,3.74,52,355.95,2.38,356.3,4.05,50
N148,2019-06-01,2024-12-31,21.9,1.66,21.94,2.7,81,21.66,1.83,21.93,2.72,82
N149,2019-06-01,2024-12-31,337.05,3.66,336.33,5.34,72,336.65,3.03,336.06,4.89,73
N150,2019-06-01,2024-12-31,14.73,3.81,14.33,4.68,87,14.6,3.25,14.09,4.3,84
N151,2019-06-01,2024-12-31,20.55,4.99,19.51,6.31,61,20.96,4.59,20.07,6.14,66
N152,2019-06-01,2024-12-31,334.39,2.25,334.77,3.42,71,334.25,2.62,334.28,4.15,71
N153,2019-06-01,2024-12-31,315.37,3.48,314.2,6.22,66,314.94,3.6,314.27,5.78,69
N154,2019-06-01,2024-12-31,40.12,4.19,39.13,5.96,57,40.45,4.16,39.56,6.61,67
N155,2019-06-01,2020-03-26,354.59,1.33,354.51,2.59,25,353.93,1.39,354.14,2.68,24
N155,2020-04-10,2024-12-31,1.66,2,1.54,3.08,54,1.4,2.03,1.49,3.22,56
N156,2019-06-01,2024-12-31,30.3,4.87,31.43,6.08,53,30.71,5.51,31.44,6.77,52
N157,2019-06-01,2024-12-31,321.59,3.19,321.39,5.14,65,321.19,3.92,320.9,5.92,71
N158,2019-06-01,2024-12-31,334.17,2.76,333.55,4.09,93,334.08,2.72,333.96,3.88,92
N159,2019-06-01,2024-12-31,349.58,2.7,349.68,4.02,103,349.01,2.57,348.89,4.09,96
N160,2019-06-01,2020-10-30,164.79,2.35,165.1,3.46,55,164.7,2.36,165.17,3.91,57
N160,2020-11-06,2024-12-31,10.36,3.13,12.11,3.65,13,11.1,3.82,10.93,5.99,13
N161,2019-06-01,2024-12-31,335.16,3.73,334,5.17,60,334.4,3.66,334.14,5.29,65
N162,2019-06-01,2024-12-31,20.22,2.08,19.86,3.07,67,20.4,2.22,20.12,3.4,70
N163,2019-06-01,2024-12-31,4.83,2.29,5.09,3.2,92,4.72,2.32,4.84,3.02,90
N164,2019-06-01,2024-12-31,35.4,5.87,34.83,6.4,47,34.13,4.96,33.44,6.93,50
N165,2019-06-01,2024-12-31,355.52,4.47,354.42,5.88,64,355.54,3.97,354.47,5.77,63
N166,2019-06-01,2019-12-02,13.69,2.42,13.72,3.71,16,12.49,2.99,13.06,4.35,14
N166,2020-01-02,2024-12-31,4.63,2.25,4.84,3.3,74,4.69,1.77,4.89,2.33,77
N167,2019-06-01,2024-12-31,5.54,2.65,5.47,4.08,74,5.81,2.5,5.87,3.86,75
N168,2019-06-01,2024-12-31,329.14,4.01,328.62,6.2,52,328.31,3.8,328.34,6.52,54
N169,2019-06-01,2024-12-31,20.71,5.2,20.03,6.45,80,20.17,4.64,19.64,5.96,78
N170,2019-06-01,2024-12-31,356.44,2.83,356.13,4.44,88,356.2,2.69,355.71,4.07,85
N171,2019-06-01,2024-12-31,350.97,4.52,350.63,6.63,81,350.22,4.47,350.33,6.25,84
N172,2019-06-01,2024-12-31,330.83,3.96,330.32,5.35,79,329.84,3.76,329.79,5.47,82
N173,2019-06-01,2024-12-31,357.82,2.08,358.26,3.56,73,358,2.18,358.21,3.52,69
N174,2019-06-01,2024-12-31,289.12,2.28,289.29,3.5,89,289.32,2.38,289.11,3.73,94
N175,2019-06-01,2024-12-31,3.92,2.99,3.33,4.99,71,3.2,3.01,2.46,4.96,76
N176,2019-06-01,2024-12-31,356.83,2.99,356.17,4.78,77,357.42,2.77,356.9,3.93,70
N177,2019-06-01,2024-12-31,20.76,4.75,22.05,7.34,44,19.54,3.44,21.2,6.58,30
N178,2019-06-01,2019-09-01,10.13,1.84,10.83,2.77,12,10.63,1.97,10.81,2.37,11
N178,2019-09-14,2024-12-31,358.65,2.93,358.72,4.1,74,358.65,2.93,358.86,4.14,77
N179,2019-06-01,2024-12-31,344.57,2.71,344.58,3.83,99,345.06,2.53,344.87,3.97,102
N180,2019-06-01,2020-01-07,28.64,4.64,28.64,6.69,18,27.75,5.18,28.45,7.66,16
N180,2020-03-14,2024-12-31,11.47,4.04,11.5,5.97,50,10.38,3.58,11.22,5.63,51
N181,2019-06-01,2024-12-31,337.87,4.03,336.76,6.2,71,337.83,3.78,336.4,5.83,69
N182,2019-06-01,2024-12-31,352.4,4.3,351.48,6.01,85,352.27,3.91,351.42,6.03,92
N183,2019-06-01,2024-12-31,10.99,3.79,11.17,5.08,75,10.78,2.99,11.56,3.9,78
N184,2019-06-01,2024-12-31,50.63,2.93,49.71,4.8,90,50.38,2.47,49.42,4.17,92
N185,2019-06-01,2024-12-31,336,3.56,335.57,5.2,69,334.93,3.85,335.16,5.51,75
N186,2019-06-01,2020-03-25,314.59,1.83,314.74,3.16,19,312.57,4.75,310.71,6.98,23
N186,2020-04-10,2024-12-31,13.25,4.08,13.16,5.78,54,12.94,4.46,12.97,6.12,63
N187,2019-06-01,2024-12-31,308.1,2.07,308.29,3.5,77,308.11,2.66,307.89,4.05,82
N188,2019-06-01,2024-12-31,5.44,4.31,3.88,6.43,59,5.72,3.82,4.52,5.83,61
N189,2019-06-01,2024-12-31,331.9,4.87,331.16,8.27,34,331.58,5.04,331.99,8.49,33
N190,2019-06-01,2020-03-26,354.24,2.5,354.1,4.15,28,353.84,2.35,354.45,4.03,25
N190,2020-04-10,2024-12-31,4.47,2.41,4.87,3.56,63,4.66,2.28,4.79,3.17,63
N191,2019-06-01,2024-12-31,22.18,4.88,23.15,6.83,50,22.76,4.54,23.07,6.19,58
N192,2019-06-01,2024-12-31,8.92,2.53,8.72,3.62,85,8.66,2.56,8.52,3.78,89
N193,2019-06-01,2024-12-31,352.53,2.42,352.54,3.25,94,352.35,2.1,352.43,3.19,101
N194,2019-06-01,2024-12-31,345.8,4,344.96,5.95,66,346.07,4.06,345.59,5.4,61
N195,2019-06-01,2024-12-31,14.53,2.28,14.58,3.45,92,14.96,2.47,14.58,3.33,94
N196,2019-06-01,2024-12-31,29.65,2.55,29.58,4,70,29.64,2.67,29.57,4.19,71
N197,2019-06-01,2024-12-31,12.33,4.55,11.8,6.25,74,12.46,4.05,11.87,5.81,74
N198,2019-06-01,2020-01-07,346.39,2.74,346.75,3.43,19,347.06,2.04,347.24,2.7,16
N198,2020-01-19,2024-12-31,339.19,2.31,339.56,3.08,71,339.02,2.65,339.7,3.5,78
N199,2019-06-01,2020-01-07,206.03,2.15,206.37,4.18,17,205.7,2.23,205.09,3.95,15
N199,2020-02-13,2024-12-31,9.94,3.12,9.79,4.08,61,10.03,3.41,9.89,4.72,67
N200,2019-06-01,2024-12-31,359.03,4.61,358.84,7.06,62,359.95,4.35,359.45,6.49,61
