ADOA         36.5726    128.7009   169.0
AGSA         37.0917    127.8080   104.0
ANDB         33.2566    126.3287    84.0
ANHA         37.4647    128.1550   540.0
ANMA         36.5386    126.3300    42.0
ASNA         36.8277    127.0123    85.0
BAEA         35.4868    129.4353    70.0
BAR2         37.9771    124.7142    39.0
BAU          35.1027    127.5968   562.0
BESA         35.3303    126.4764    15.0
BGDB         34.7726    125.9469    38.0
BKWA         37.1681    127.9875   279.0
BLGA         36.1392    127.3032   105.0
BLLA         34.8646    127.4638    45.0
BOGA         37.0131    127.3294   119.0
BOHB         36.9263    129.0537   342.0
BON2         36.5482    127.7981   355.0
BSAA         35.0661    129.0741   182.0
BUDA         37.3671    127.1305    95.0
BURB         37.2317    127.7486    88.0
BUS3         35.2486    129.1124   117.0
BUSA         36.9791    128.6611   348.0
BUYB         36.2726    126.9206    65.0
CDSA         35.7045    128.4444    82.0
CE2A         36.6268    127.5135   134.0
CEA2         36.8231    127.2574   229.0
CEBA         37.5405    130.9169    59.0
CGAA         36.7069    127.7263   230.0
CGDA         35.6628    128.6703   147.0
CGIA         37.5823    128.1527   260.0
CGPA         34.8766    126.9709   144.0
CGUB         37.5583    127.7136   159.0
CGWB         35.1702    128.5721    91.0
CGYA         36.4235    126.7788   139.0
CHCB         37.7776    127.8144   245.0
CHDA         34.2367    127.2496    87.0
CHIA         37.1273    127.1169    86.0
CHJ3         36.8730    127.9748   247.0
CHOA         35.8408    127.1170    90.0
CHRB         35.5342    128.4779    75.0
CHYB         36.9439    128.9144   374.0
CIGB         36.0398    128.3813    74.0
CJD          33.9593    126.2933    93.0
CJDB         36.1741    126.5285    55.0
CLSA         35.3628    128.4907    61.0
CPR2         36.2211    127.9718   287.0
CSDB         34.1811    126.8956    24.0
CSOA         36.3878    129.0854   258.0
CWO2         38.0834    127.5204   378.0
DAGA         35.8788    128.6527   108.0
DAG2         35.7685    128.8970   262.0
DAJA         35.4865    128.9291   132.0
DASA         37.3695    127.5868    40.0
DASB         34.7448    127.2731    18.0
DAYA         35.3103    126.9728    44.0
DDCA         37.9020    127.0610   162.0
DDCB         37.8317    124.7069    81.0
DEI2         37.2557    126.1048    94.0
DGHA         35.8352    127.5711   359.0
DGJA         36.8894    126.6174   101.0
DGLA         36.7907    128.2706   491.0
DKSA         36.9044    128.1456   325.0
DNBA         36.3906    128.4284   122.0
DNYA         36.9877    128.3559   226.0
DUSB         35.8942    127.7731   698.0
ECDB         36.1183    125.9797    94.0
EURB         35.3225    128.2882    63.0
EUSB         36.3561    128.6887   142.0
GACA         35.1136    128.3071   169.0
GAGA         37.1306    129.1696   195.0
GAPB         37.8442    127.4949   113.0
GBI2         36.6255    125.5595   144.0
GDDB         34.9931    128.8313    48.0
GDS5         37.7753    126.2284    39.0
GEJA         34.9984    128.6797    24.0
GEJB         38.4165    128.3858   135.0
GGDA         35.9499    129.2531    75.0
GGDB         34.0522    125.1264    58.0
GGGA         36.3637    129.3908   129.0
GGSA         36.9295    129.1518   646.0
GGTA         37.7686    126.8991   115.0
GH2B         37.7076    126.4464    79.0
GICA         36.0812    128.1016   130.0
GIGA         36.0689    129.1996   100.0
GIJA         35.7966    126.9020    16.0
GJAA         35.3095    129.1996   302.0
GKSA         35.2304    127.2252   180.0
GLCA         37.9049    128.5207   590.0
GLSA         36.5255    126.5450    62.0
GMDB         34.0408    127.2882   125.0
GMHB         38.2500    127.4210   251.0
GMPB         37.6421    126.6756    40.0
GNAA         37.8888    127.2168   120.0
GOBA         36.6571    126.5441    45.0
GOCB         35.3484    126.5982    92.0
GOSF         33.3027    126.1823    20.0
GSGA         37.5516    126.8443    66.0
GSNA         35.7576    129.0109   217.0
GUJA         33.5504    126.7503    69.0
GUMA         36.2347    128.2902   107.0
GUNA         35.2194    126.4429    22.0
GUWB         36.1824    128.5932    93.0
GWJA         35.1728    126.8916    59.0
GWLA         37.2195    128.8212   856.0
GWYB         34.9433    127.6914   137.0
HA2B         33.3925    126.2582    40.0
HABA         35.9062    128.4463    33.0
HACA         35.4135    128.1016   135.0
HAIA         34.9444    128.1928    61.0
HAMA         35.2660    128.3480    18.0
HAMB         35.5116    127.7457   204.0
HANB         34.5540    126.5688    52.0
HAWA         34.6710    126.3283    51.0
HAWB         37.0844    126.7739    54.0
HCNA         35.5652    128.1700    75.0
HEDA         34.6064    126.0365    43.0
HESA         37.5406    127.9565   260.0
HGDB         34.7068    125.2012    45.0
HGSA         36.6579    126.6879    64.0
HLCE         33.3614    126.5359  1909.0
HMGA         36.0761    129.5666    79.0
HMPA         35.1413    126.6176    58.0
HOAA         36.9603    127.9116    76.0
HOCA         37.6838    127.8801   144.0
HONA         36.4457    127.5791   137.0
HSJB         36.5668    127.2804    86.0
HTDA         34.3908    125.2986    56.0
HWCA         38.0650    127.7746   288.0
HWDB         37.6322    127.3404    81.0
HWSA         36.4412    127.9441   330.0
HYDA         36.2836    129.0193   128.0
ICN2         37.2908    127.4167   128.0
IJAA         37.9471    128.3248   346.0
IJBA         38.1208    128.3173   452.0
IJDB         35.1028    126.0651    55.0
IJS4         38.3260    128.2038   499.0
IKSA         36.0592    127.0619    82.0
IKSB         35.9355    126.9747    66.0
IMSB         35.6124    127.2854   313.0
IMWB         37.2379    129.3421    46.0
INCA         37.4777    126.6240   111.0
INJA         36.9930    126.9185    59.0
IPTA         36.9969    127.1354    65.0
ISHB         37.3488    126.7039    49.0
IYIB         37.2708    127.2317   164.0
IYPA         37.4914    127.5218    94.0
JAEA         36.8000    128.9903   382.0
JAEB         34.8791    126.0288     2.0
JAGA         35.3196    126.8107   106.0
JAHA         34.6890    126.9194    48.0
JASA         35.6571    127.5204   408.0
JCUA         37.2753    128.2694   319.0
JDGB         37.6904    128.6742   813.0
JDO2         34.4730    126.3238   511.0
JECB         37.1595    128.1945   315.0
JEDA         35.0018    126.1020     8.0
JEGA         38.0262    127.0616    53.0
JEJB         35.6374    129.4411    10.0
JESA         37.4303    128.6653   415.0
JEU2         35.4935    126.9298   171.0
JGJA         37.7047    128.9134    78.0
JGNA         35.8754    128.0485   409.0
JHCB         38.2322    127.6888   468.0
JINA         35.1642    128.0402    82.0
JJBA         37.6479    128.5645   575.0
JJU2         33.4305    126.5463   525.0
JKJA         36.2421    129.2151   422.0
JLSA         35.3574    127.6480   536.0
JMJ2         37.8816    128.7561    92.0
JNHA         35.1121    128.7536    64.0
JNPA         36.7956    127.5621   126.0
JNUA         36.6908    127.2005   130.0
JNYA         35.2822    128.7175    68.0
JODB         34.3115    126.0437    78.0
JOGB         37.6210    128.9801    70.0
JSTB         37.1922    128.6681   596.0
JUCA         35.2423    128.8280    71.0
JURA         37.6147    127.0868    84.0
JWJB         37.4155    128.0505   299.0
KAWA         37.8052    128.8548    79.0
KCH2         35.6140    127.9188   442.0
KESB         36.9537    127.6048   237.0
KH2B         34.6185    127.2757   103.0
KKDA         34.4557    127.1222    52.0
KMSB         36.1059    127.4816   205.0
KOSB         38.6028    128.3595    62.0
KWJ2         35.1599    126.9911   249.0
KWJU         35.1599    126.9911   249.0
LIWA         36.2482    127.6137   147.0
LMGA         37.4918    128.8637   555.0
MALA         35.7445    127.3477   308.0
MANA         35.0941    126.2850    95.0
MGY2         36.6552    128.0608   156.0
MJDB         34.2074    125.4690    44.0
MLGA         35.3113    128.9970    54.0
MMD          34.6488    128.5769   117.0
MND          35.8043    126.4242    42.0
MNDB         34.9665    127.1609   165.0
MOGA         37.6962    127.5825   127.0
MOPB         34.8173    126.3812    92.0
MSMB         35.6892    126.5562    49.0
MSNA         35.5884    128.9539   272.0
MUS2         37.8862    126.7656    24.0
NACA         35.9505    126.5910    42.0
NAHA         34.8167    127.9261    92.0
NAJA         35.0261    126.8264    65.0
NAMB         37.7711    128.3863   656.0
NARA         36.2494    128.5558    76.0
NAWB         35.4212    127.3963   187.0
NCNA         37.8197    128.0919   275.0
NCS4         38.2333    127.3694   253.0
NGJA         34.6445    126.7841    55.0
NHPA         35.0604    126.5274    37.0
NHSB         34.6871    125.4504   111.0
NJDA         37.0503    126.4221    77.0
NLDA         34.5326    127.4673   179.0
NOSA         36.2836    127.1272   110.0
NPGA         34.7869    126.1478    29.0
NSJA         34.3819    126.5159    45.0
NYSA         34.3781    126.8868    35.0
OADB         36.5245    128.8314   135.0
OGSB         35.7685    128.8971   281.0
OHBA         36.1389    128.9947   405.0
OJSA         36.7869    128.5714   196.0
OKCB         36.3463    127.7941   165.0
OKPA         35.8028    128.4456    24.0
OOJB         36.7020    129.4084   103.0
OPHB         36.1905    129.3392    76.0
OPSA         36.5810    128.5606   119.0
OSBA         36.2762    128.4663   101.0
OSMA         36.7574    129.3402   139.0
OUJA         37.1157    129.3702    42.0
OWSA         35.8630    129.2093    68.0
OYDB         36.2292    126.0758    62.0
PGEA         36.7559    128.6920   215.0
PHDA         35.1287    127.7450   337.0
PMYA         35.5018    128.7606   121.0
PORA         36.3278    126.5575    68.0
PTYC         34.8507    128.4376    81.0
PUAA         35.7295    126.7167    49.0
PUYA         36.5618    128.3061    76.0
PYCB         37.3774    128.3946   344.0
PYS6         37.8396    126.8121    97.0
PYSB         33.3536    126.8167   138.0
SACA         35.4131    127.8789   130.0
SAHX         35.0900    128.9839   127.0
SAJB         36.4079    128.1575   146.0
SARA         37.3010    126.8222     7.0
SCHA         35.0199    127.3692   194.0
SECA         36.1420    126.7519    70.0
SEHA         36.3401    127.4937    96.0
SEJA         35.9474    128.2170    59.0
SENA         35.5385    126.7424    31.0
SEO3         37.4939    126.9170   114.0
SESA         37.7196    128.1735   341.0
SESB         36.7767    126.4939    27.0
SGMA         37.8282    127.2880   310.0
SGNA         37.4461    127.1832   193.0
SGP2         33.2587    126.4993   177.0
SH2B         38.2685    128.2524   423.0
SIJA         34.8954    126.5880    50.0
SKBA         36.5210    129.1791   304.0
SKC2         38.2898    128.5219    59.0
SLSA         37.1349    127.5196   128.0
SMWA         35.5259    126.5522    65.0
SNDA         37.2617    128.5956   295.0
SNGB         37.3465    129.0865   124.0
SNNA         36.0502    128.7111   303.0
SNWA         33.2798    126.7051    36.0
SODA         37.5714    126.9661   154.0
SOSA         36.8566    127.7433   173.0
SRGA         35.4539    128.8086    34.0
SUBA         36.7826    129.2211   427.0
SUCA         35.3736    127.1386   146.0
SWO2         37.2808    126.9824   119.0
TAHA         37.5150    130.8118   214.0
TAIA         35.6507    126.9318    51.0
TANB         36.6731    126.1353    50.0
TBA2         37.1224    128.9523   936.0
TEJ2         36.3725    127.3711    73.0
TOHA         37.5070    129.1238    86.0
UDO          33.5227    126.9538     6.0
UICA         35.3498    128.6054    25.0
UJBA         37.7548    127.1063   113.0
UJNA         36.9926    129.4135   100.0
ULDR         37.4809    130.8987   269.0
UNCA         35.4695    129.2395    93.0
USN2         35.7024    129.1232   250.0
WAJB         35.9378    127.2931   185.0
WAN2         34.3959    126.7019   104.0
WICA         35.7312    127.8015   510.0
WNBA         36.8238    126.2572    57.0
YAGA         37.4070    127.7569   153.0
YALB         35.7279    128.1934   397.0
YAYA         38.1438    128.6025    61.0
YAYB         38.0255    128.7160    50.0
YC2B         38.0398    126.9257    75.0
YCHB         36.6222    128.4373   129.0
YCS4         38.1164    126.9864    65.0
YEAB         36.6611    128.8872   261.0
YEGA         35.2837    126.4776    78.0
YESA         34.7395    127.7405   112.0
YEYB         36.6251    129.0880   260.0
YGAA         35.8532    128.3657    74.0
YGBA         35.7954    129.3865   138.0
YGGA         38.0979    127.9852   229.0
YKDB         34.6223    128.2734   153.0
YMSA         37.5455    127.6113   201.0
YNDB         34.4323    127.8011    52.0
YOCB         35.9771    128.9511   143.0
YODB         36.5333    129.4096    52.0
YOGA         38.0942    127.2765   207.0
YOJA         35.0222    128.4928    58.0
YOJB         36.8720    128.5166   262.0
YOW2         37.1812    128.4569   281.0
YPDB         37.6080    125.7100   104.0
YSAB         36.7420    126.8156    71.0
YSDA         33.9866    126.9205    67.0
YUGA         36.5406    126.9473    95.0
AJD          34.7479    126.1238   125.4
BBK          35.5798    129.4356    45.2
BGD          34.1600    126.5555     9.0
BOG          35.7014    129.2067   136.0
BRN          37.9712    124.6352    60.0
BRS          37.9172    124.6900    38.0
CGD          35.6075    128.8427   115.6
CGU          35.8194    129.2698   205.0
CHNB         38.2710    127.1211   184.9
CHS          36.1811    129.0881   240.0
CRB          37.3898    127.9589   179.0
DES          36.1490    129.3065    75.0
DKJ          35.9468    129.1089   173.2
DOKDO        37.2393    131.8696   166.0
DUC          35.7445    129.1758   118.0
GCN          35.8170    129.1363   121.0
GHR          34.4866    126.8994    56.0
GKP2         35.8906    128.6066    52.0
GRE          35.2618    127.4424    56.8
GSU          35.1551    128.0971    45.4
HAK          35.9295    129.5004    15.8
HCH          36.0793    129.3052   100.0
HDB          35.7337    129.3990   145.5
HKU          36.6131    127.3581    75.8
HSB          36.5554    126.6359    64.2
HWSB         34.9768    126.8994    52.5
IBA          35.4617    126.8393   172.0
JJB          33.4515    126.6559   434.0
JRB          35.2129    127.6404    60.9
JSB          37.3175    128.6854   322.9
JUC          36.0924    129.4144    28.0
KIP          37.7584    126.6398   122.0
KJM          34.8336    128.5930     7.1
KMC          35.9869    127.9426   262.8
KNUC         37.8727    127.7427   119.0
KNUD         37.2257    129.0976   861.0
KSA          38.5953    128.3516   105.2
MAK          35.3702    129.1765   175.2
MGB          36.6402    128.2146    94.9
MKL          35.7322    129.2420   186.6
MRD          33.1166    126.2660    57.0
MUN          34.9102    126.4264     8.0
NPR          36.0425    126.8664    25.1
OJR          36.2319    128.8173   207.0
PCH          37.9645    127.1320   132.6
PKNU         35.2830    129.2585     7.0
POHB         36.0778    129.3533    99.0
POSB         36.0256    129.3118   100.0
SIG          35.7708    129.3251   100.0
SND          37.1579    128.7962   779.1
SNU          37.4536    126.9545   170.5
TJN          36.3805    127.3617    86.1
UNI          35.5740    129.1850    63.0
WDL          35.1001    127.3718   281.0
WID          35.6196    126.3057    50.1
YIN          37.1574    127.3979   121.0
YKB          38.2254    127.9903   303.2
YPD          37.6615    125.6990    20.4
YSB          35.4681    129.0799    75.1
YSUK         37.3792    126.6710    12.0
YSUM         37.2826    127.9034   185.0
