event_idx,event_time,lat,lon,depth,x,y,z,ex,ey,ez,nccp,nccs,nctp,ncts,cid,is_dtcc,n_used,ml_ufraw_reloc,ml_ufcorr_reloc,ml_ufcorr_old,dml
48,2010-06-14 00:57:54.020000+00:00,35.750273,129.378809,11.091,-97.2,-418.5,-235.1,0.2,0.3,0.1,3,17,447,447,1,True,2.0,0.8113706391351725,0.6915878496951895,0.7387215071094698,-0.04713365741428033
52,2010-06-17 19:14:20.160000+00:00,35.721773,129.366048,10.199,-1251.5,-3580.7,-1127.5,0.2,1.0,0.1,3,42,624,630,1,True,2.0,0.26907132265090505,0.14928853321092206,0.1449030902119653,0.004385442998956768
54,2010-06-22 02:44:28.469999+00:00,35.675675,129.311361,12.181,-6200.4,-8695.4,854.7,0.6,1.0,0.5,0,0,18,15,1,False,2.0,0.3577366795993273,0.23795389015934432,0.2370600787361822,0.0008938114231621108
55,2010-06-23 03:40:54.210000+00:00,35.78901,129.348405,15.204,-2846.3,3879.5,3877.4,0.2,0.3,0.2,0,3,204,206,1,True,1.0,0.3173875098833654,0.04073487439543255,0.0698194684444087,-0.029084594048976148
56,2010-06-23 04:19:34.090000+00:00,35.770085,129.352425,15.588,-2483.1,1779.7,4261.1,0.4,0.7,0.4,0,0,227,229,1,False,1.0,0.43789438247465773,0.1612417469867249,0.1858691338492725,-0.024627386862547618
58,2010-06-27 02:50:44.539999+00:00,35.802071,129.343172,14.083,-3319.2,5328.8,2756.2,0.1,0.3,0.1,0,0,223,227,1,False,2.0,0.7547841863844232,0.5871126674733937,0.634105657378571,-0.04699298990517731
59,2010-07-16 19:26:57.259999+00:00,35.722514,129.359448,10.651,-1848.5,-3498.5,-675.0,0.4,0.8,0.3,0,0,763,775,1,False,4.0,0.9007676547395674,1.0175953937931603,1.0345694598056694,-0.01697406601250906
63,2010-08-02 05:59:43.079999+00:00,35.834281,129.268693,11.541,-10051.3,8902.6,214.6,0.2,0.2,0.4,0,0,105,111,1,False,5.0,1.0152393303947376,0.9781944307449237,0.9826074362990592,-0.004413005554135485
65,2010-08-04 02:00:15.660000+00:00,35.730155,129.368164,10.203,-1060.0,-2650.6,-1123.2,0.1,0.2,0.1,19,77,711,716,1,True,2.0,0.41349581299207105,0.29371302355208806,0.2884132616320699,0.005299761920018187
67,2010-08-15 12:23:28.350000+00:00,35.809762,129.387541,11.683,692.4,6182.1,356.2,0.4,0.4,0.6,0,0,531,629,1,False,4.0,0.5545367080795026,0.5056371985084905,0.5382625537048404,-0.0326253551963499
69,2010-08-20 03:41:19.910000+00:00,35.793738,129.30708,10.383,-6582.9,4404.1,-943.5,0.2,0.2,0.2,0,0,355,341,1,False,2.0,0.3243272442823989,0.2045444548424159,0.2057368756835518,-0.0011924208411359105
73,2010-09-03 08:55:47.799999+00:00,35.728015,129.367944,10.039,-1079.9,-2888.1,-1287.8,0.1,0.1,0.1,75,104,564,549,1,True,5.0,1.3379836074814855,1.3750706640894519,1.3805660212094353,-0.005495357119983391
77,2010-09-17 12:31:44.270000+00:00,35.723942,129.402922,12.144,2084.1,-3340.0,817.5,0.3,0.4,0.4,2,3,725,690,1,True,4.0,1.0062547862523692,1.0433418428603358,1.0717569703318186,-0.02841512747148278
78,2010-09-18 21:33:55.479999+00:00,35.749556,129.270443,8.051,-9898.4,-498.0,-3275.4,0.5,1.4,0.7,0,0,22,13,1,False,1.0,0.16370740463102784,0.2007944612389947,0.2541261257707438,-0.05333166453174909
81,2010-09-25 20:48:10.279999+00:00,35.723307,129.402555,12.184,2051.0,-3410.4,857.4,0.3,0.4,0.4,2,3,640,676,1,True,4.0,1.3592706640601384,1.411983544327318,1.4260960217147371,-0.014112477387419053
83,2010-10-11 14:00:35.380000+00:00,35.713318,129.401538,11.874,1959.1,-4518.8,547.5,0.2,0.7,0.1,5,33,467,477,1,True,1.0,0.49442524182645187,0.21777260633851903,0.2559899761760437,-0.03821736983752466
86,2010-11-01 03:38:32.170000+00:00,35.776196,129.309814,10.913,-6336.3,2457.8,-413.2,0.3,0.4,0.5,0,0,380,368,1,False,3.0,0.3440495409630375,0.3736216716094003,0.37290034781339,0.0007213237960103092
87,2010-11-01 17:53:30.559999+00:00,35.876982,129.428369,11.87,4381.9,13640.4,543.8,0.3,0.3,0.5,0,0,21,24,1,False,3.0,0.46719434832910745,0.6265865895366529,0.6563663232881127,-0.029779733751459814
92,2010-11-18 05:33:54.530000+00:00,35.72795,129.368856,10.119,-997.5,-2895.3,-1207.4,0.1,0.1,0.1,62,105,594,581,1,True,4.0,0.9348415462234666,0.9596036022195968,0.9774670443222804,-0.017863442102683535
93,2010-11-18 10:05:43.509999+00:00,35.728052,129.368864,10.11,-996.7,-2884.0,-1215.9,0.1,0.1,0.1,34,122,607,629,1,True,5.0,1.1161356860735672,1.1285727414578608,1.1540615852081244,-0.025488843750263612
94,2010-11-21 23:08:56.659999+00:00,35.713037,129.365527,10.365,-1298.7,-4550.0,-961.9,0.6,1.0,0.3,0,0,600,604,1,False,1.0,0.47161565086183654,0.1949630153739037,0.1760942794956014,0.01886873587830229
98,2010-12-05 19:48:18.440000+00:00,35.758085,129.376725,11.549,-285.6,448.3,222.6,0.1,0.3,0.2,3,8,519,557,1,True,4.0,0.6282456556261405,0.6530077116222708,0.6926855369459246,-0.039677825323653826
99,2010-12-05 19:52:48.780000+00:00,35.757275,129.376742,11.7,-284.1,358.5,373.2,0.1,0.5,0.2,4,5,539,537,1,True,2.0,0.4047051966124945,0.2725974065606749,0.2970749220035925,-0.024477515442917597
100,2010-12-10 19:26:01.439999+00:00,35.719621,129.366325,9.883,-1226.5,-3819.5,-1442.9,0.1,0.1,0.1,47,48,659,660,1,True,5.0,0.6322625220171185,0.6458992032347506,0.6727090782379905,-0.026809875003239947
101,2010-12-13 14:09:37.289999+00:00,35.68571,129.36696,9.176,-1169.3,-7582.1,-2150.7,0.3,0.4,0.3,0,0,510,475,1,False,5.0,0.7690879683566321,0.7815250237409257,0.806734944474752,-0.02520992073382633
102,2010-12-13 15:21:42.429999+00:00,35.704765,129.384847,12.187,449.1,-5467.8,860.9,0.4,0.6,0.2,0,0,550,554,1,False,4.0,0.49987529175982315,0.5246373477559532,0.5390368866691739,-0.014399538913220766
103,2010-12-13 15:26:31.760000+00:00,35.709237,129.381095,11.942,109.7,-4971.6,615.1,0.3,0.6,0.2,0,0,125,132,1,False,6.0,1.0266339084792224,1.063720965087189,1.0928308264137887,-0.02910986132659965
110,2010-12-21 21:28:55.520000+00:00,35.705615,129.353532,10.016,-2384.0,-5373.5,-1310.0,1.6,2.5,1.0,0,1,956,882,1,True,1.0,0.7588666747026864,0.4822140392147536,0.4732171557046296,0.00899688351012401
111,2010-12-22 11:50:48.539999+00:00,35.71512,129.355054,10.194,-2246.2,-4318.8,-1132.8,0.5,1.1,0.3,1,3,566,564,1,True,1.0,0.6867506690495155,0.4100980335615827,0.3828794531405476,0.027218580421035088
113,2011-01-06 16:31:38.920000+00:00,35.697611,129.365129,9.348,-1334.9,-6261.5,-1978.5,0.5,0.8,0.3,1,2,458,457,1,True,4.0,0.39911103974782647,0.4238730957439567,0.4502438265702115,-0.026370730826254796
114,2011-01-06 16:51:18.350000+00:00,35.696106,129.365397,9.215,-1310.6,-6428.6,-2111.7,0.6,0.8,0.4,1,2,444,444,1,True,3.0,0.34930876028616,0.3863958168941264,0.3851302307240811,0.0012655861700452964
116,2011-01-13 02:59:41.200000+00:00,35.7599,129.268465,9.159,-10076.6,649.7,-2167.5,0.5,0.8,0.5,0,0,14,13,1,False,2.0,0.6083610744367625,0.48857828499677947,0.4124827816729849,0.07609550332379456
118,2011-01-19 18:32:32.659999+00:00,35.698515,129.400854,7.059,1897.4,-6161.3,-4267.6,0.4,0.5,0.3,0,0,239,223,1,False,5.0,0.6193598971848093,0.6564469537927762,0.6794756293621382,-0.023028675569362056
121,2011-02-02 22:20:06.919999+00:00,35.790214,129.368986,11.353,-985.3,4013.2,26.6,0.5,0.3,0.6,0,0,296,414,1,False,4.0,0.16306105948825933,0.27988879854185233,0.3073792741963712,-0.027490475654518842
122,2011-02-06 09:48:18.949999+00:00,35.718856,129.346289,9.579,-3039.0,-3904.4,-1747.6,0.5,1.0,0.2,0,0,514,521,1,False,2.0,0.29530290108782375,0.17552011164784076,0.1698779202398164,0.005642191408024355
124,2011-02-22 18:00:38.479999+00:00,35.757597,129.290804,10.23,-8056.4,394.1,-1096.6,0.6,0.5,0.4,4,1,263,298,1,True,5.0,0.5344016256383526,0.5714886822463194,0.5968612580582586,-0.02537257581193919
126,2011-02-23 07:52:43.869999+00:00,35.718437,129.363778,10.177,-1456.9,-3950.9,-1149.1,0.4,0.7,0.4,0,18,545,542,1,True,4.0,1.356804303934169,1.3815663599302992,1.401237023553163,-0.01967066362286385
132,2011-03-03 05:43:10.619999+00:00,35.730855,129.368514,10.102,-1028.4,-2573.0,-1224.6,0.1,0.1,0.1,65,62,619,621,1,True,6.0,1.8283753708635633,1.8654624274715301,1.8798255329918696,-0.01436310552033948
133,2011-03-05 03:55:19.199999+00:00,35.807088,129.301611,11.198,-7076.8,5885.4,-128.0,0.2,0.4,0.3,0,0,244,254,1,False,2.0,0.35296470618827225,0.23318191674828925,0.2423387915613784,-0.00915687481308916
141,2011-03-14 19:11:00.700000+00:00,35.732137,129.385742,12.416,530.0,-2430.7,1089.4,0.9,1.9,0.5,0,0,528,532,1,False,2.0,0.2791308499525553,0.15934806051257233,0.191082179894534,-0.03173411938196166
142,2011-03-22 08:06:07.599999+00:00,35.752653,129.380802,12.108,83.2,-154.4,782.1,0.7,1.8,0.8,0,0,469,470,1,False,2.0,0.8904285625776632,0.7706457731376802,0.8038762095918931,-0.033230436454212864
148,2011-04-12 21:44:06.280000+00:00,35.720036,129.366032,9.91,-1253.0,-3773.4,-1416.5,0.1,0.2,0.1,46,42,540,547,1,True,3.0,0.5204839902301015,0.5575710468380684,0.5679105181586597,-0.01033947132059132
150,2011-04-16 12:42:48.329999+00:00,35.757861,129.377384,11.57,-226.0,423.5,243.6,0.1,0.3,0.2,3,8,479,477,1,True,2.0,0.4960471510422334,0.3762643616022504,0.4038396952603081,-0.0275753336580577
151,2011-04-29 08:30:09.189999+00:00,35.795858,129.332324,13.225,-4300.2,4639.4,1898.6,0.2,0.3,0.3,0,0,173,220,1,False,1.0,0.34334987023011454,0.0666972347421817,0.0898838779643184,-0.023186643222136705
154,2011-05-04 12:38:33.920000+00:00,35.720044,129.365804,9.941,-1273.6,-3772.5,-1385.2,0.1,0.1,0.1,40,47,616,622,1,True,4.0,0.473967623826675,0.49930158436962957,0.5198600214871671,-0.020558437117537576
155,2011-05-04 16:12:09.660000+00:00,35.719495,129.365592,9.904,-1292.7,-3833.5,-1422.8,0.1,0.1,0.1,44,40,809,799,1,True,6.0,0.8371600978260715,0.9539878368796643,0.9638652384042492,-0.009877401524584939
156,2011-05-04 18:08:19.199999+00:00,35.718835,129.366366,9.894,-1222.8,-3906.6,-1432.1,0.1,0.2,0.1,42,44,561,565,1,True,3.0,0.5023943670763154,0.5394814236842822,0.5507998052957057,-0.011318381611423511
158,2011-05-14 19:16:28.239999+00:00,35.704232,129.350391,9.288,-2668.2,-5527.0,-2038.6,1.0,1.9,0.6,0,1,621,617,1,True,2.0,0.6543332525713275,0.5345504631313445,0.5387889180763514,-0.004238454945006964
160,2011-05-20 03:16:05.610000+00:00,35.79292,129.305835,10.715,-6695.5,4313.4,-611.5,0.2,0.2,0.3,0,0,350,333,1,False,3.0,0.34300259607378325,0.3725608437703567,0.3738470687227659,-0.0012862249524092095
161,2011-05-21 03:20:33.780000+00:00,35.783818,129.309294,10.959,-6383.1,3303.4,-367.0,0.2,0.4,0.2,0,0,374,374,1,False,3.0,0.28724655184894576,0.26549382043102665,0.2699125138237268,-0.004418693392700124
164,2011-05-28 04:40:41.200000+00:00,35.720837,129.36735,10.008,-1133.7,-3684.5,-1318.8,0.1,0.1,0.1,51,60,808,807,1,True,3.0,0.9690978035200084,1.0061848601279753,1.0202815181346796,-0.014096658006704343
165,2011-05-29 06:03:05.679999+00:00,35.718396,129.377205,9.637,-242.2,-3955.4,-1688.9,0.2,0.2,0.3,5,8,693,683,1,True,6.0,1.0735258381429658,1.0141935113818616,1.0418193869525965,-0.027625875570734815
168,2011-06-02 15:46:00.180000+00:00,35.750513,129.364103,13.452,-1427.2,-391.9,2126.1,0.7,2.0,0.8,0,0,442,348,1,False,4.0,0.5845176221021815,0.6012058411884383,0.6314550299628654,-0.03024918877442706
170,2011-06-04 03:12:20.850000+00:00,35.776396,129.30424,10.627,-6840.4,2480.0,-699.7,0.2,0.4,0.4,0,0,382,367,1,False,3.0,0.44826613536564164,0.4744040842645263,0.4693878195938891,0.005016264670637205
171,2011-06-06 21:53:52.119999+00:00,35.733,129.369035,18.721,-981.3,-2335.0,7395.0,0.2,0.2,0.2,0,0,15,17,1,False,1.0,0.6956771016649586,0.732764158272925,0.7386631812868956,-0.005899023013970606
174,2011-06-11 15:05:28.539999+00:00,35.774805,129.358317,14.548,-1950.2,2303.4,3222.0,0.2,0.1,0.1,1,11,481,479,1,True,5.0,0.5550261249661352,0.42025387136905695,0.4261051141521301,-0.005851242783073141
177,2011-06-22 03:11:21.800000+00:00,35.805469,129.304199,10.729,-6842.9,5705.7,-597.5,0.2,0.5,0.3,0,0,90,68,1,False,2.0,0.5258917789498547,0.40610898950987173,0.4325071836262742,-0.026398194116402485
187,2011-08-02 13:23:43.560000+00:00,35.778581,129.383822,12.544,356.2,2722.4,1218.0,0.3,0.8,0.5,0,0,394,407,1,False,2.0,-0.05926446788502493,-0.17904725732500792,-0.1500931958474032,-0.028954061477604737
188,2011-08-04 00:56:46.570000+00:00,35.771277,129.367887,11.761,-1084.8,1912.0,434.8,0.6,0.7,0.5,0,1,426,438,1,True,1.0,0.5563151953330228,0.2796625598450899,0.3062133668680717,-0.026550807022981793
190,2011-08-22 15:24:55.880000+00:00,35.759155,129.290332,10.509,-8099.0,567.1,-817.2,0.2,0.3,0.2,5,4,300,357,1,True,1.0,0.07475891417203617,-0.20189372131589667,-0.2036521134536822,0.0017583921377855305
191,2011-08-23 11:59:06.710000+00:00,35.711641,129.296411,9.371,-7551.4,-4704.8,-1955.8,0.2,0.6,0.3,0,0,188,167,1,False,5.0,0.6013565086879669,0.7679924765909161,0.7622721545165143,0.0057203220744017624
193,2011-08-25 05:17:10.330000+00:00,35.693868,129.4007,10.823,1883.5,-6676.9,-503.5,0.2,0.4,0.2,0,0,432,429,1,False,2.0,0.8381833280313968,0.7184005385914138,0.723149754996165,-0.004749216404751122
196,2011-09-06 09:53:39.630000+00:00,35.808411,129.406706,13.999,2425.1,6032.2,2672.8,0.4,0.3,0.5,0,0,689,727,1,False,5.0,0.9252380910184161,0.9480963849170632,0.9809322634070236,-0.03283587848996039
200,2011-09-11 17:57:55.979999+00:00,35.713843,129.353158,9.904,-2417.7,-4460.6,-1422.6,0.6,1.1,0.4,0,0,620,623,1,False,3.0,0.29684810446729726,0.33393516107526366,0.3319351642469503,0.0019999968283133662
201,2011-09-13 12:10:41.049999+00:00,35.75741,129.28964,10.499,-8161.6,373.4,-827.7,0.2,0.3,0.2,5,4,400,423,1,True,4.0,0.24083295676167016,0.24034271539279828,0.2427352900692083,-0.0023925746764100198
209,2011-10-29 05:25:17.839999+00:00,35.768323,129.373332,12.47,-592.4,1584.2,1144.1,0.4,0.4,0.5,0,0,605,611,1,False,5.0,2.1564741048184235,2.1689111602027173,2.203723062396208,-0.03481190219349051
210,2011-10-30 08:45:31.679999+00:00,35.727722,129.362752,9.828,-1549.6,-2920.6,-1498.8,0.4,1.0,0.4,0,0,640,644,1,False,2.0,0.38405558112932014,0.26427279168933715,0.2552323581667686,0.009040433522568558
211,2011-11-02 10:00:03.919999+00:00,35.698136,129.287671,16.643,-8342.8,-6203.3,5316.6,0.3,0.5,0.3,0,0,9,10,1,False,3.0,0.21309187694016885,0.2501789335481357,0.2525062251917324,-0.002327291643596685
212,2011-11-07 18:56:15.199999+00:00,35.787614,129.42998,14.083,4530.0,3724.7,2756.7,0.3,0.4,0.4,3,3,591,617,1,True,4.0,0.7140621373277083,0.7229440000014479,0.7459696386245873,-0.023025638623139444
214,2011-11-13 06:32:13.250000+00:00,35.802144,129.308244,9.996,-6477.3,5336.9,-1330.7,0.2,0.3,0.4,0,0,270,256,1,False,4.0,0.6349334195042168,0.6362398882966561,0.6391129341836107,-0.002873045886954584
215,2011-11-19 16:44:12.660000+00:00,35.758313,129.376676,11.555,-290.0,473.6,228.5,0.1,0.3,0.2,3,7,477,477,1,True,3.0,0.7096441689476856,0.746731225555652,0.7498614000144281,-0.0031301744587761693
