event_idx,event_time,year,ml_invariant,ml_epoch,ml_epoch_cons
0,2010-01-10 00:14:59.580000+00:00,2010,1.1724625627953706,1.1712279009831414,1.1680242307384432
1,2010-01-15 02:04:10.240000+00:00,2010,0.8370067571672777,0.7713342788850371,0.7949828927470993
2,2010-01-17 02:44:30.210000+00:00,2010,0.7858614217333013,0.6177956577473862,0.7814230896763739
3,2010-01-18 01:49:35.940000+00:00,2010,1.2090803908873897,1.0349937280184367,0.9717356175846618
4,2010-01-18 03:19:29.740000+00:00,2010,1.4796679382837323,1.2031879897111049,1.2799086973442553
5,2010-01-18 03:20:58.220000+00:00,2010,1.2902788101024305,1.1222130461165154,1.1499753925219252
6,2010-02-02 09:04:48.410000+00:00,2010,1.0795858764475397,1.032112164495627,1.0765055963625454
7,2010-02-11 05:03:54.330000+00:00,2010,1.5788763773391852,1.1939822441798453,1.1837962275171585
8,2010-02-14 19:44:49.020000+00:00,2010,0.966479542257009,0.9008070639747685,0.9244556778368307
9,2010-02-19 21:36:02.770000+00:00,2010,1.0727465885789538,0.89298491750584,0.8827989008431532
10,2010-02-21 03:16:14.490000+00:00,2010,1.5640775378806173,1.1791834047212775,1.3357904457708314
11,2010-02-24 20:34:06.900000+00:00,2010,1.1305891979370724,0.7456950647777325,0.7355090481150457
12,2010-02-25 02:20:51.190000+00:00,2010,1.2094243983305426,1.0043874795529297,0.9942014628902429
13,2010-02-25 11:39:51.650000+00:00,2010,1.3194245997306586,1.0429446511580314,1.1196653587911816
14,2010-03-02 19:45:14.380000+00:00,2010,0.8467916840531272,0.7811192057708867,0.8047678196329489
15,2010-03-04 14:57:40.510000+00:00,2010,1.0315360566172873,1.0317580278246807,1.0268549092982207
16,2010-03-20 11:44:57.620000+00:00,2010,0.6809564109226696,0.6152839326404289,0.6389325465024912
17,2010-03-22 01:38:07.600000+00:00,2010,1.3711706376520545,1.0946906890794272,1.1714113967125774
18,2010-03-27 08:08:26.480000+00:00,2010,1.09217887697123,0.9604892233736667,0.9179759309447477
19,2010-03-29 15:27:49.420000+00:00,2010,0.39094201755123736,0.4276628249726714,0.31133262076780815
20,2010-03-30 03:41:52.900000+00:00,2010,1.695960663975959,1.527894899990044,1.6915223319190316
21,2010-03-31 17:56:19.240000+00:00,2010,1.9772512199992536,2.001102518583856,1.9728128879423261
22,2010-04-01 19:47:43.370000+00:00,2010,0.9620424791252375,0.7240916129269198,0.8008123205600702
23,2010-04-01 20:53:59.660000+00:00,2010,0.8623001152072689,0.5640469739608536,0.7276744058898412
24,2010-04-02 13:55:31.240000+00:00,2010,0.3996928840357613,0.33402040575352077,0.357669019615583
25,2010-04-03 15:47:54.780000+00:00,2010,0.3973767345310781,0.22931097054516295,0.3929384024741507
