event_idx,event_time,year,ml_nb09,ml_kigam
0,2010-01-10 00:14:59.580000+00:00,2010,1.1724179956404956,1.0048235288686922
1,2010-01-15 02:04:10.240000+00:00,2010,0.8367412789293316,0.3617861025601109
2,2010-01-17 02:44:30.210000+00:00,2010,0.7858168545784264,0.618222387806623
3,2010-01-18 01:49:35.940000+00:00,2010,1.2089994133670046,0.7075612637385473
4,2010-01-18 03:19:29.740000+00:00,2010,1.4798078718464183,1.0869225612075295
5,2010-01-18 03:20:58.220000+00:00,2010,1.2902342429475555,1.0862603821570564
6,2010-02-02 09:04:48.410000+00:00,2010,1.079584608341508,0.9955601256502242
7,2010-02-11 05:03:54.330000+00:00,2010,1.5792008116194318,0.9862154141737481
8,2010-02-14 19:44:49.020000+00:00,2010,0.966214064019063,0.49125888764984227
9,2010-02-19 21:36:02.770000+00:00,2010,1.0727020214240788,0.7302812369473135
10,2010-02-21 03:16:14.490000+00:00,2010,1.564401972160864,1.3438415588705879
11,2010-02-24 20:34:06.900000+00:00,2010,1.130913632217319,0.5121887639787414
12,2010-02-25 02:20:51.190000+00:00,2010,1.2093798311756676,1.0417853644038642
13,2010-02-25 11:39:51.650000+00:00,2010,1.3195645332933446,1.1254870932623047
14,2010-03-02 19:45:14.380000+00:00,2010,0.8465262058151811,0.37157102944596043
15,2010-03-04 14:57:40.510000+00:00,2010,1.0314215844032173,0.9369501094939103
16,2010-03-20 11:44:57.620000+00:00,2010,0.6806909326847235,0.20573575631550273
17,2010-03-22 01:38:07.600000+00:00,2010,1.3713105712147404,0.9959932400216434
18,2010-03-27 08:08:26.480000+00:00,2010,1.091913398733284,1.001882646532717
19,2010-03-29 15:27:49.420000+00:00,2010,0.3904556282302204,0.2544395861873928
20,2010-03-30 03:41:52.900000+00:00,2010,1.695916096821084,1.5283216300492806
21,2010-03-31 17:56:19.240000+00:00,2010,1.9772066528443786,1.9275717108338135
22,2010-04-01 19:47:43.370000+00:00,2010,0.9617770008872915,0.8066340550311933
23,2010-04-01 20:53:59.660000+00:00,2010,0.8626245494875155,0.6420641361972393
24,2010-04-02 13:55:31.240000+00:00,2010,0.3994274057978153,0.2476221513904998
25,2010-04-03 15:47:54.780000+00:00,2010,0.39733216737620314,0.22973770060439969
26,2010-04-03 15:49:01.110000+00:00,2010,0.5714897126173252,0.4038952458455217
27,2010-04-04 12:21:12.390000+00:00,2010,0.6857385828295663,0.5547056119890112
28,2010-04-04 18:14:29.890000+00:00,2010,0.7770362518739216,0.6930117691826381
30,2010-04-09 00:37:22.020000+00:00,2010,0.7117181593981511,0.5599129049908356
31,2010-04-10 08:08:57.830000+00:00,2010,0.9834351754000289,0.9829806767892653
32,2010-04-10 17:59:48.330000+00:00,2010,0.20802332059180714,0.056218066184491634
33,2010-04-16 08:49:19.870000+00:00,2010,1.1306013228019165,0.9523130951353647
