event_idx,event_time,lat,lon,depth,x,y,z,ex,ey,ez,nccp,nccs,nctp,ncts,cid,is_dtcc,n_used,ml_ufraw_reloc,ml_ufcorr_reloc,ml_ufcorr_old,dml
48,2010-06-14 00:57:54.009999+00:00,35.757442,129.377572,10.995,-209.0,377.0,-331.5,1.2,2.1,1.2,0,1,583,551,1,True,2.0,0.8129935618443273,0.6973810657289478,0.7387215071094698,-0.041340441380522064
52,2010-06-17 19:14:20.120000+00:00,35.726632,129.366349,10.367,-1224.2,-3041.6,-959.1,0.3,3.7,0.3,7,47,655,653,1,True,2.0,0.27403825239378776,0.15842575627840824,0.1449030902119653,0.013522666066442951
54,2010-06-22 02:44:28.390000+00:00,35.698918,129.312183,13.516,-6125.1,-6116.6,2189.3,0.6,1.2,1.2,0,1,43,38,1,True,2.0,0.368078516675613,0.2524660205602335,0.2370600787361822,0.015405941824051278
55,2010-06-23 03:40:54.219999+00:00,35.783679,129.346737,15.149,-2997.3,3288.1,3822.8,0.1,0.2,0.1,2,4,230,231,1,True,1.0,0.309629351813953,0.04352458627542144,0.0698194684444087,-0.02629488216898726
56,2010-06-23 04:19:34.100000+00:00,35.768441,129.350114,15.404,-2692.1,1597.3,4077.8,0.5,1.1,0.6,0,0,246,248,1,False,1.0,0.4318729504763412,0.16576818493780965,0.1858691338492725,-0.020100948911462857
58,2010-06-27 02:50:44.549999+00:00,35.796476,129.341081,14.059,-3508.4,4708.0,2732.6,0.3,0.6,0.4,0,0,239,233,1,False,2.0,0.7465335844614777,0.5840093393097001,0.634105657378571,-0.05009631806887094
59,2010-07-16 19:26:57.240000+00:00,35.730774,129.359408,10.754,-1852.1,-2582.0,-572.5,0.3,0.7,0.4,0,0,799,808,1,False,4.0,0.8979722960041516,1.005131933981664,1.0345694598056694,-0.029437525824005384
63,2010-08-02 05:59:43.009999+00:00,35.821122,129.282788,12.95,-8777.9,7442.6,1623.4,0.3,0.7,0.6,0,0,59,56,1,False,5.0,1.028102593296866,0.9692042088942427,0.9826074362990592,-0.013403227404816476
65,2010-08-04 02:00:15.599999+00:00,35.738664,129.36888,10.29,-995.2,-1706.6,-1036.4,0.1,0.3,0.1,0,88,761,758,1,True,2.0,0.41810430009291133,0.30249180397753184,0.2884132616320699,0.014078542345461964
67,2010-08-15 12:23:28.379999+00:00,35.798531,129.38361,12.062,337.0,4936.0,735.2,0.7,0.8,0.8,0,0,535,635,1,False,4.0,0.538917110780984,0.4912101192804981,0.5382625537048404,-0.047052434424342315
