net,sta,start,end,n_days
KS,DAG2,2012-09-12,2012-09-12,1
KS,DAG2,2012-09-17,2012-09-17,1
KS,DAG2,2012-10-27,2012-10-29,3
KS,DAG2,2012-11-03,2012-11-07,5
KS,DAG2,2012-11-12,2012-11-12,1
KS,DAG2,2012-11-17,2012-11-18,2
KS,DAG2,2012-11-23,2012-11-23,1
KS,DAG2,2012-12-18,2012-12-19,2
KS,DAG2,2013-09-30,2013-09-30,1
KS,DAG2,2015-03-26,2015-03-26,1
KS,DAG2,2015-08-04,2015-08-05,2
KS,DAG2,2016-01-03,2016-01-03,1
KS,DAG2,2016-01-06,2016-01-06,1
KS,DAG2,2016-02-17,2016-02-21,5
KS,DAG2,2016-12-13,2016-12-13,1
KS,DAG2,2016-12-17,2016-12-27,11
KS,DAG2,2017-01-01,2022-07-20,2027
KS,DAGA,2018-12-19,2019-03-17,89
KS,DAGA,2024-11-01,2025-12-31,426
KS,DAGA,2026-01-04,2026-05-09,126
KS,DAGA,2026-05-14,2026-05-14,1
KS,DAGA,2026-05-17,2026-05-17,1
KS,DAGA,2026-07-14,2026-07-16,3
KS,DAU,2010-01-01,2026-07-16,6041
KS,DNBA,2018-03-09,2025-12-31,2855
KS,DNBA,2026-01-04,2026-05-09,126
KS,DNBA,2026-05-14,2026-05-14,1
KS,DNBA,2026-05-17,2026-05-17,1
KS,DNBA,2026-07-14,2026-07-16,3
KS,EUS,2010-01-01,2026-07-16,6041
KS,EUSB,2015-10-01,2015-11-30,61
KS,EUSB,2016-01-03,2016-01-03,1
KS,EUSB,2016-01-06,2016-01-06,1
KS,EUSB,2016-02-18,2016-02-21,4
KS,EUSB,2016-06-02,2016-06-02,1
KS,EUSB,2016-12-13,2016-12-14,2
KS,EUSB,2016-12-17,2016-12-27,11
KS,EUSB,2024-11-01,2025-12-31,426
KS,EUSB,2026-01-03,2026-05-09,127
KS,EUSB,2026-05-14,2026-05-14,1
KS,EUSB,2026-05-17,2026-05-17,1
KS,EUSB,2026-07-14,2026-07-16,3
KS,GGDA,2024-11-01,2025-12-31,426
