net,sta,start,end,n_days
KG,MAK,2013-02-12 00:00:00,2013-02-12 00:00:00,1
KG,MAK,2015-01-03 00:00:00,2015-12-31 00:00:00,363
KG,MAK,2016-01-06 00:00:00,2016-01-06 00:00:00,1
KG,MAK,2016-09-09 00:00:00,2016-09-09 00:00:00,1
KG,MAK,2016-09-15 00:00:00,2016-09-19 00:00:00,5
KG,MAK,2016-09-24 00:00:00,2016-09-25 00:00:00,2
KG,MAK,2016-10-01 00:00:00,2016-10-05 00:00:00,5
KG,MAK,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,MAK,2018-03-29 00:00:00,2018-03-29 00:00:00,1
KG,MAK,2020-09-07 00:00:00,2020-09-07 00:00:00,1
KG,MAK,2021-11-09 00:00:00,2021-11-09 00:00:00,1
KG,MAK,2023-07-07 00:00:00,2023-07-09 00:00:00,3
KG,MAK,2024-04-27 00:00:00,2024-04-27 00:00:00,1
KG,MAK,2024-05-29 00:00:00,2024-05-29 00:00:00,1
KG,MAK,2024-06-04 00:00:00,2024-06-04 00:00:00,1
KG,MAK,2024-09-01 00:00:00,2024-09-01 00:00:00,1
KG,MAK,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,MKL,2012-09-08 00:00:00,2012-09-11 00:00:00,4
KG,MKL,2013-02-12 00:00:00,2013-02-12 00:00:00,1
KG,MKL,2013-07-16 00:00:00,2013-07-16 00:00:00,1
KG,MKL,2017-07-05 00:00:00,2017-07-06 00:00:00,2
KG,MKL,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,MKL,2019-08-02 00:00:00,2019-08-05 00:00:00,4
KG,MKL,2020-08-11 00:00:00,2020-08-11 00:00:00,1
KG,MKL,2020-09-03 00:00:00,2020-09-03 00:00:00,1
KG,MKL,2021-03-31 00:00:00,2021-03-31 00:00:00,1
KG,MKL,2021-08-14 00:00:00,2021-08-15 00:00:00,2
KG,MKL,2022-07-10 00:00:00,2022-07-11 00:00:00,2
KG,MKL,2022-07-18 00:00:00,2022-07-20 00:00:00,3
KG,MKL,2023-04-09 00:00:00,2023-04-09 00:00:00,1
KG,MKL,2023-05-27 00:00:00,2023-05-27 00:00:00,1
KG,MKL,2023-11-27 00:00:00,2023-11-27 00:00:00,1
KG,MKL,2023-12-07 00:00:00,2023-12-07 00:00:00,1
KG,MKL,2023-12-19 00:00:00,2023-12-19 00:00:00,1
KG,MKL,2024-05-01 00:00:00,2024-05-01 00:00:00,1
KG,MKL,2024-08-22 00:00:00,2024-08-22 00:00:00,1
KG,MKL,2024-10-14 00:00:00,2024-10-14 00:00:00,1
KG,MKL,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,OJR,2020-12-21 00:00:00,2020-12-31 00:00:00,11
KG,OJR,2021-06-16 00:00:00,2021-06-24 00:00:00,9
KG,OJR,2021-07-18 00:00:00,2021-07-18 00:00:00,1
KG,OJR,2022-10-01 00:00:00,2022-10-01 00:00:00,1
KG,OJR,2022-10-18 00:00:00,2022-10-18 00:00:00,1
KG,OJR,2022-11-12 00:00:00,2022-11-12 00:00:00,1
KG,OJR,2023-01-25 00:00:00,2023-01-25 00:00:00,1
KG,OJR,2023-02-01 00:00:00,2023-02-01 00:00:00,1
KG,OJR,2024-08-04 00:00:00,2024-08-04 00:00:00,1
KG,OJR,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,PKNU,2019-01-23 05:20:00,2026-07-15 05:20:00,2731
KG,POHB,2017-11-16 01:00:56,2026-07-15 01:00:56,3164
KG,POSB,2019-02-21 08:00:00,2026-07-15 08:00:00,2702
KG,RWD,2016-03-28 00:00:00,2026-07-16 00:00:00,3763
KG,SIG,2019-01-10 01:40:00,2026-07-15 01:40:00,2744
KG,UNI,2020-05-27 00:00:00,2020-05-30 00:00:00,4
KG,UNI,2022-10-01 00:00:00,2022-10-01 00:00:00,1
KG,UNI,2022-10-18 00:00:00,2022-10-18 00:00:00,1
KG,UNI,2022-11-12 00:00:00,2022-11-12 00:00:00,1
KG,UNI,2023-01-25 00:00:00,2023-01-25 00:00:00,1
KG,UNI,2023-02-01 00:00:00,2023-02-01 00:00:00,1
KG,UNI,2024-08-04 00:00:00,2024-08-04 00:00:00,1
KG,UNI,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,WSN,2010-01-01 00:00:00,2026-07-16 00:00:00,6041
KG,YSB,2011-10-25 00:00:00,2011-11-07 00:00:00,14
KG,YSB,2013-04-05 00:00:00,2013-04-07 00:00:00,3
KG,YSB,2013-08-18 00:00:00,2013-08-19 00:00:00,2
KG,YSB,2015-07-31 00:00:00,2015-08-02 00:00:00,3
KG,YSB,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,YSB,2018-03-21 00:00:00,2018-03-22 00:00:00,2
KG,YSB,2023-04-09 00:00:00,2023-04-09 00:00:00,1
KG,YSB,2023-05-27 00:00:00,2023-05-27 00:00:00,1
KG,YSB,2023-11-27 00:00:00,2023-11-27 00:00:00,1
KG,YSB,2023-12-02 00:00:00,2023-12-03 00:00:00,2
KG,YSB,2023-12-07 00:00:00,2023-12-07 00:00:00,1
KG,YSB,2023-12-19 00:00:00,2023-12-19 00:00:00,1
KG,YSB,2024-05-01 00:00:00,2024-05-01 00:00:00,1
KG,YSB,2024-08-22 00:00:00,2024-08-22 00:00:00,1
KG,YSB,2024-10-14 00:00:00,2024-10-14 00:00:00,1
KG,YSB,2024-11-01 00:00:00,2026-07-16 00:00:00,623
