net,sta,dist_km,accel_only,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NS,N199,36.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N097,36.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N200,37.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N165,37.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N159,37.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N193,37.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N098,39.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N163,39.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N169,40.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N162,40.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N202,40.8,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N166,41.0,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N198,43.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N205,44.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N203,45.9,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N207,48.2,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N204,48.7,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N206,49.0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N210,51.4,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N208,52.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N211,52.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N209,56.2,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N212,58.5,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N215,59.3,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N214,59.9,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N213,62.3,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N216,63.5,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N217,71.3,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N218,72.4,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N219,77.7,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N220,82.8,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
