net,sta,start,end,n_days,source
KG,DKJ,2022-07-04 00:00:00,2022-07-07 00:00:00,4,NECIS-or-kquake
KG,DKJ,2024-05-29 00:00:00,2024-05-29 00:00:00,1,NECIS-or-kquake
KG,DKJ,2024-06-04 00:00:00,2024-06-04 00:00:00,1,NECIS-or-kquake
KG,DKJ,2024-09-01 00:00:00,2024-09-01 00:00:00,1,NECIS-or-kquake
KG,DKJ,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,DUC,2017-12-21 23:26:00,2026-07-15 23:26:00,3129,NECIS-or-kquake
KG,GCN,2017-12-22 02:10:00,2026-07-15 02:10:00,3128,NECIS-or-kquake
KG,GKP1,2010-01-01 00:00:00,2019-01-23 00:00:00,3310,NECIS-or-kquake
KG,GKP2,2019-01-24 08:10:00,2026-07-15 08:10:00,2730,NECIS-or-kquake
KG,HAK,2010-01-01 00:00:00,2013-11-14 00:00:00,1414,NECIS-or-kquake
KG,HAK,2016-01-06 00:00:00,2016-01-06 00:00:00,1,NECIS-or-kquake
KG,HAK,2016-09-09 00:00:00,2016-09-09 00:00:00,1,NECIS-or-kquake
KG,HAK,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,HCH,2019-01-23 23:00:00,2026-07-15 23:00:00,2731,NECIS-or-kquake
KG,HDB,2010-09-01 00:00:00,2010-09-01 00:00:00,1,NECIS-or-kquake
KG,HDB,2011-07-23 00:00:00,2011-07-25 00:00:00,3,NECIS-or-kquake
KG,HDB,2012-05-04 00:00:00,2012-05-04 00:00:00,1,NECIS-or-kquake
KG,HDB,2014-02-12 00:00:00,2014-02-20 00:00:00,9,NECIS-or-kquake
KG,HDB,2015-01-01 00:00:00,2015-01-04 00:00:00,4,NECIS-or-kquake
KG,HDB,2016-03-08 00:00:00,2016-03-09 00:00:00,2,NECIS-or-kquake
KG,HDB,2016-08-06 00:00:00,2016-08-08 00:00:00,3,NECIS-or-kquake
KG,HDB,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,HDB,2019-10-30 00:00:00,2019-10-31 00:00:00,2,NECIS-or-kquake
KG,HDB,2021-07-06 00:00:00,2021-07-07 00:00:00,2,NECIS-or-kquake
KG,HDB,2022-06-29 00:00:00,2022-06-30 00:00:00,2,NECIS-or-kquake
KG,HDB,2022-09-06 00:00:00,2022-09-06 00:00:00,1,NECIS-or-kquake
KG,HDB,2023-04-09 00:00:00,2023-04-09 00:00:00,1,NECIS-or-kquake
KG,HDB,2023-05-27 00:00:00,2023-05-27 00:00:00,1,NECIS-or-kquake
KG,HDB,2023-11-27 00:00:00,2023-11-27 00:00:00,1,NECIS-or-kquake
KG,HDB,2023-12-07 00:00:00,2023-12-07 00:00:00,1,NECIS-or-kquake
